#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DocCreationTime|DayOfWeek
#T_SP=webanno.custom.Dur|Value
#T_SP=webanno.custom.Field|Category|Gran|ResolveDefault|U_Class|Val|fType
#T_SP=webanno.custom.Paragraph|
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.Source|
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value
#T_SP=webanno.custom.Event|ROLE_webanno.custom.Event:Time_test_webanno.custom.EventTime_testLink|webanno.custom.TxtDate
#T_RL=webanno.custom.Anaphoric|Comment|Decision|ID|LinkName|Operation|Relation|eClass|uClass|BT_webanno.custom.TxtDate
#T_RL=webanno.custom.Event_link|e_link|BT_webanno.custom.Event


#Text=¶2017-09-01
1-1	0-1	¶	_	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-2	1-5	2017	2017-W35-5[1]	_	_	_	_	_	_	_	*[4]	*[12]	_	Date[32]	*[32]	Day[32]	2017-09-01[32]	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-3	5-6	-	2017-W35-5[1]	_	_	_	_	_	_	_	*[4]	*[12]	_	Date[32]	*[32]	Day[32]	2017-09-01[32]	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-4	6-8	09	2017-W35-5[1]	_	_	_	_	_	_	_	*[4]	*[12]	_	Date[32]	*[32]	Day[32]	2017-09-01[32]	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-5	8-9	-	2017-W35-5[1]	_	_	_	_	_	_	_	*[4]	*[12]	_	Date[32]	*[32]	Day[32]	2017-09-01[32]	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-6	9-11	01	2017-W35-5[1]	_	_	_	_	_	_	_	*[4]	*[12]	_	Date[32]	*[32]	Day[32]	2017-09-01[32]	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=¶Сегодня, 1 сентября, в Замоскворецком суде на процессе по громкому уголовному делу экс-министра экономического развития Алексея Улюкаева, обвиняемого в получении крупной взятки, должен выступить главный исполнительный директор «Роснефти» Игорь Сечин.
2-1	12-13	¶	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-2	13-20	Сегодня	_	_	*	Day	D	1	01	*	*[5]	*[13]	_	Date	*	Day	2017-09-01	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-3	20-21	,	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-4	22-23	1	_	_	*	Day	-	-	1	*	*[5]	*[13]	_	Date[33]	*[33]	Day[33]	2017-09-01[33]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-5	24-32	сентября	_	_	*	MonthName	DA	4	09	*	*[5]	*[13]	_	Date[33]	*[33]	Day[33]	2017-09-01[33]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-6	32-33	,	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-7	34-35	в	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-8	36-50	Замоскворецком	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-9	51-55	суде	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-10	56-58	на	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-11	59-67	процессе	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	*	_	_	_	_	_	_	_	_	_	_	_	
2-12	68-70	по	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-13	71-79	громкому	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-14	80-90	уголовному	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-15	91-95	делу	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-16	96-108	экс-министра	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-17	109-123	экономического	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-18	124-132	развития	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-19	133-140	Алексея	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-20	141-149	Улюкаева	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-21	149-150	,	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-22	151-162	обвиняемого	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	*	_	_	_	_	_	_	_	_	_	_	_	
2-23	163-164	в	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-24	165-174	получении	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	*	_	_	_	_	_	_	_	_	_	links\_to	2-22	
2-25	175-182	крупной	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-26	183-189	взятки	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-27	189-190	,	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-28	191-197	должен	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	*	_	_	_	_	_	_	_	_	_	_	_	
2-29	198-207	выступить	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	event\_time	2-4[33]	_	_	_	_	_	_	_	_	_	links\_to	2-28	
2-30	208-215	главный	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-31	216-230	исполнительный	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-32	231-239	директор	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-33	240-241	«	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-34	241-249	Роснефти	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-35	249-250	»	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-36	251-256	Игорь	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-37	257-262	Сечин	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-38	262-263	.	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=Следствие пока заявило его допрос в качестве свидетеля.
3-1	264-273	Следствие	_	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-2	274-278	пока	_	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-3	279-286	заявило	_	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-4	287-290	его	_	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-5	291-297	допрос	_	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-6	298-299	в	_	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-7	300-308	качестве	_	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-8	309-318	свидетеля	_	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-9	318-319	.	_	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=Однако, как передает корреспондент «Ведомостей», пока нет никаких признаков того, что он явился в суд.
4-1	320-326	Однако	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-2	326-327	,	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-3	328-331	как	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-4	332-340	передает	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-5	341-354	корреспондент	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-6	355-356	«	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-7	356-366	Ведомостей	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-8	366-367	»	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-9	367-368	,	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-10	369-373	пока	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-11	374-377	нет	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-12	378-385	никаких	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-13	386-395	признаков	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-14	396-400	того	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-15	400-401	,	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-16	402-405	что	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-17	406-408	он	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-18	409-415	явился	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-19	416-417	в	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-20	418-421	суд	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-21	421-422	.	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=¶Секретарь суда сообщила перед началом заседания, что у нее нет данных о явке свидетелей.
5-1	425-426	¶	_	_	_	_	_	_	_	_	*[6]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-2	426-435	Секретарь	_	_	_	_	_	_	_	_	*[6]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-3	436-440	суда	_	_	_	_	_	_	_	_	*[6]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-4	441-449	сообщила	_	_	_	_	_	_	_	_	*[6]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-5	450-455	перед	_	_	_	_	_	_	_	_	*[6]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-6	456-463	началом	_	_	_	_	_	_	_	_	*[6]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-7	464-473	заседания	_	_	_	_	_	_	_	_	*[6]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-8	473-474	,	_	_	_	_	_	_	_	_	*[6]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-9	475-478	что	_	_	_	_	_	_	_	_	*[6]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-10	479-480	у	_	_	_	_	_	_	_	_	*[6]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-11	481-484	нее	_	_	_	_	_	_	_	_	*[6]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-12	485-488	нет	_	_	_	_	_	_	_	_	*[6]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-13	489-495	данных	_	_	_	_	_	_	_	_	*[6]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-14	496-497	о	_	_	_	_	_	_	_	_	*[6]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-15	498-502	явке	_	_	_	_	_	_	_	_	*[6]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-16	503-513	свидетелей	_	_	_	_	_	_	_	_	*[6]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-17	513-514	.	_	_	_	_	_	_	_	_	*[6]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=Прокуроры пришли, адвокаты в сборе, последним появился Улюкаев.
6-1	515-524	Прокуроры	_	_	_	_	_	_	_	_	*[6]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-2	525-531	пришли	_	_	_	_	_	_	_	_	*[6]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-3	531-532	,	_	_	_	_	_	_	_	_	*[6]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
