#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DocCreationTime|DayOfWeek
#T_SP=webanno.custom.Dur|Value
#T_SP=webanno.custom.Field|Category|Gran|ResolveDefault|U_Class|Val|fType
#T_SP=webanno.custom.Paragraph|
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value


#Text=¶2015-09-17
1-1	0-1	¶	_	_	_	_	_	_	_	_	*[8]	*[14]	_	_	_	_	
1-2	1-5	2015	2015-W38-4[1]	_	_	_	_	_	_	_	*[8]	*[14]	Date[23]	*[23]	Day[23]	2015-09-17[23]	
1-3	5-6	-	2015-W38-4[1]	_	_	_	_	_	_	_	*[8]	*[14]	Date[23]	*[23]	Day[23]	2015-09-17[23]	
1-4	6-8	09	2015-W38-4[1]	_	_	_	_	_	_	_	*[8]	*[14]	Date[23]	*[23]	Day[23]	2015-09-17[23]	
1-5	8-9	-	2015-W38-4[1]	_	_	_	_	_	_	_	*[8]	*[14]	Date[23]	*[23]	Day[23]	2015-09-17[23]	
1-6	9-11	17	2015-W38-4[1]	_	_	_	_	_	_	_	*[8]	*[14]	Date[23]	*[23]	Day[23]	2015-09-17[23]	

#Text=¶Гендиректор американской корпорации Apple Тим Кук встретится с премьер-министром Индии Нарендрой Моди в Нью-Дели 21 мая, сообщает агентство Reuters.
2-1	12-13	¶	_	_	_	_	_	_	_	_	*[9]	*[15]	_	_	_	_	
2-2	13-24	Гендиректор	_	_	_	_	_	_	_	_	*[9]	*[15]	_	_	_	_	
2-3	25-37	американской	_	_	_	_	_	_	_	_	*[9]	*[15]	_	_	_	_	
2-4	38-48	корпорации	_	_	_	_	_	_	_	_	*[9]	*[15]	_	_	_	_	
2-5	49-54	Apple	_	_	_	_	_	_	_	_	*[9]	*[15]	_	_	_	_	
2-6	55-58	Тим	_	_	_	_	_	_	_	_	*[9]	*[15]	_	_	_	_	
2-7	59-62	Кук	_	_	_	_	_	_	_	_	*[9]	*[15]	_	_	_	_	
2-8	63-73	встретится	_	_	_	_	_	_	_	_	*[9]	*[15]	_	_	_	_	
2-9	74-75	с	_	_	_	_	_	_	_	_	*[9]	*[15]	_	_	_	_	
