#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DocCreationTime|DayOfWeek
#T_SP=webanno.custom.Field|Category|Gran|ResolveDefault|U_Class|Val|fType
#T_SP=webanno.custom.Paragraph|
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value


#Text=¶2022-02-03
1-1	0-1	¶	_	_	_	_	_	_	_	*[2]	*[9]	_	_	_	_	
1-2	1-5	2022	2022-W05-4[1]	_	_	_	_	_	_	*[2]	*[9]	Date[21]	*[21]	Day[21]	2022-02-03[21]	
1-3	5-6	-	2022-W05-4[1]	_	_	_	_	_	_	*[2]	*[9]	Date[21]	*[21]	Day[21]	2022-02-03[21]	
1-4	6-8	02	2022-W05-4[1]	_	_	_	_	_	_	*[2]	*[9]	Date[21]	*[21]	Day[21]	2022-02-03[21]	
1-5	8-9	-	2022-W05-4[1]	_	_	_	_	_	_	*[2]	*[9]	Date[21]	*[21]	Day[21]	2022-02-03[21]	
1-6	9-11	03	2022-W05-4[1]	_	_	_	_	_	_	*[2]	*[9]	Date[21]	*[21]	Day[21]	2022-02-03[21]	

#Text=¶Турция и Украина заключили соглашение о зоне свободной торговли между двумя странами.
2-1	12-13	¶	_	_	_	_	_	_	_	*[3]	*[10]	_	_	_	_	
2-2	13-19	Турция	_	_	_	_	_	_	_	*[3]	*[10]	_	_	_	_	
2-3	20-21	и	_	_	_	_	_	_	_	*[3]	*[10]	_	_	_	_	
2-4	22-29	Украина	_	_	_	_	_	_	_	*[3]	*[10]	_	_	_	_	
2-5	30-39	заключили	_	_	_	_	_	_	_	*[3]	*[10]	_	_	_	_	
2-6	40-50	соглашение	_	_	_	_	_	_	_	*[3]	*[10]	_	_	_	_	
2-7	51-52	о	_	_	_	_	_	_	_	*[3]	*[10]	_	_	_	_	
2-8	53-57	зоне	_	_	_	_	_	_	_	*[3]	*[10]	_	_	_	_	
2-9	58-67	свободной	_	_	_	_	_	_	_	*[3]	*[10]	_	_	_	_	
2-10	68-76	торговли	_	_	_	_	_	_	_	*[3]	*[10]	_	_	_	_	
2-11	77-82	между	_	_	_	_	_	_	_	*[3]	*[10]	_	_	_	_	
2-12	83-88	двумя	_	_	_	_	_	_	_	*[3]	*[10]	_	_	_	_	
2-13	89-97	странами	_	_	_	_	_	_	_	*[3]	*[10]	_	_	_	_	
2-14	97-98	.	_	_	_	_	_	_	_	*[3]	*[10]	_	_	_	_	

#Text=Документ подписан в четверг после переговоров президентов Украины и Турции Владимира Зеленского и Реджепа Тайипа Эрдогана.
3-1	99-107	Документ	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	
3-2	108-116	подписан	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	
3-3	117-118	в	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	
3-4	119-126	четверг	_	*	DayOfWeek	DA	4	4	*	*[3]	*[11]	Date	*	DayOfWeek	2022-W05-4	
3-5	127-132	после	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	
3-6	133-144	переговоров	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	
3-7	145-156	президентов	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	
3-8	157-164	Украины	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	
3-9	165-166	и	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	
3-10	167-173	Турции	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	
3-11	174-183	Владимира	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	
3-12	184-194	Зеленского	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	
3-13	195-196	и	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	
3-14	197-204	Реджепа	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	
3-15	205-211	Тайипа	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	
3-16	212-220	Эрдогана	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	
3-17	220-221	.	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	

#Text=Церемонию подписания транслировал телеканал "Украина 24".
4-1	222-231	Церемонию	_	_	_	_	_	_	_	*[3]	*[12]	_	_	_	_	
4-2	232-242	подписания	_	_	_	_	_	_	_	*[3]	*[12]	_	_	_	_	
4-3	243-255	транслировал	_	_	_	_	_	_	_	*[3]	*[12]	_	_	_	_	
4-4	256-265	телеканал	_	_	_	_	_	_	_	*[3]	*[12]	_	_	_	_	
4-5	266-267	"	_	_	_	_	_	_	_	*[3]	*[12]	_	_	_	_	
4-6	267-274	Украина	_	_	_	_	_	_	_	*[3]	*[12]	_	_	_	_	
4-7	275-277	24	_	_	_	_	_	_	_	*[3]	*[12]	_	_	_	_	
4-8	277-278	"	_	_	_	_	_	_	_	*[3]	*[12]	_	_	_	_	
4-9	278-279	.	_	_	_	_	_	_	_	*[3]	*[12]	_	_	_	_	

#Text=¶Турецкий лидер находится в Киеве с визитом.
5-1	281-282	¶	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	
5-2	282-290	Турецкий	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	
5-3	291-296	лидер	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	
5-4	297-306	находится	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	
5-5	307-308	в	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	
5-6	309-314	Киеве	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	
5-7	315-316	с	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	
5-8	317-324	визитом	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	
5-9	324-325	.	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	

#Text=¶Ключевая позиция соглашения - установление Турцией нулевой пошлины на 10 337 товарных позиций, что составляет 95% от общего количества товаров, которые экспортируются Украиной.
6-1	327-328	¶	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
6-2	328-336	Ключевая	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
6-3	337-344	позиция	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
6-4	345-355	соглашения	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
6-5	356-357	-	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
6-6	358-370	установление	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
6-7	371-378	Турцией	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
6-8	379-386	нулевой	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
6-9	387-394	пошлины	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
6-10	395-397	на	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
6-11	398-400	10	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
6-12	401-404	337	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
6-13	405-413	товарных	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
6-14	414-421	позиций	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
6-15	421-422	,	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
6-16	423-426	что	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
6-17	427-437	составляет	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
6-18	438-440	95	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
6-19	440-441	%	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
6-20	442-444	от	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
6-21	445-451	общего	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
6-22	452-462	количества	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
6-23	463-470	товаров	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
6-24	470-471	,	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
6-25	472-479	которые	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
6-26	480-494	экспортируются	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
6-27	495-503	Украиной	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
6-28	503-504	.	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	

#Text=Кроме того, еще на 1 348 товарных позиций будут действовать тарифные квоты или уменьшенные пошлины.
7-1	505-510	Кроме	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	
7-2	511-515	того	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	
7-3	515-516	,	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	
7-4	517-520	еще	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	
7-5	521-523	на	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	
7-6	524-525	1	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	
7-7	526-529	348	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	
7-8	530-538	товарных	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	
7-9	539-546	позиций	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	
7-10	547-552	будут	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	
7-11	553-564	действовать	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	
7-12	565-573	тарифные	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	
7-13	574-579	квоты	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	
7-14	580-583	или	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	
7-15	584-595	уменьшенные	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	
