#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DocCreationTime|DayOfWeek
#T_SP=webanno.custom.Dur|Value
#T_SP=webanno.custom.Field|Category|Gran|ResolveDefault|U_Class|Val|fType
#T_SP=webanno.custom.Paragraph|
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value
#T_RL=webanno.custom.Anaphoric|Comment|Decision|ID|LinkName|Operation|Relation|eClass|uClass|BT_webanno.custom.TxtDate


#Text=¶2016-05-17
1-1	0-1	¶	_	_	_	_	_	_	_	_	*[6]	*[25]	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-2	1-5	2016	2016-W20-2[1]	_	_	_	_	_	_	_	*[6]	*[25]	Date[52]	*[52]	Day[52]	2016-05-17[52]	_	_	_	_	_	_	_	_	_	
1-3	5-6	-	2016-W20-2[1]	_	_	_	_	_	_	_	*[6]	*[25]	Date[52]	*[52]	Day[52]	2016-05-17[52]	_	_	_	_	_	_	_	_	_	
1-4	6-8	05	2016-W20-2[1]	_	_	_	_	_	_	_	*[6]	*[25]	Date[52]	*[52]	Day[52]	2016-05-17[52]	_	_	_	_	_	_	_	_	_	
1-5	8-9	-	2016-W20-2[1]	_	_	_	_	_	_	_	*[6]	*[25]	Date[52]	*[52]	Day[52]	2016-05-17[52]	_	_	_	_	_	_	_	_	_	
1-6	9-11	17	2016-W20-2[1]	_	_	_	_	_	_	_	*[6]	*[25]	Date[52]	*[52]	Day[52]	2016-05-17[52]	_	_	_	_	_	_	_	_	_	

#Text=¶17  мая   2016 года в  Кабинете  Министров  РТ состоялся брифинг по итогам визита   в Австрию   делегации РТ во главе с  Президентом  Республики Татарстан Рустамом Миннихановым.
2-1	12-13	¶	_	_	_	_	_	_	_	_	*[7]	*[26]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-2	13-15	17	_	_	*	Day	-	-	17	*	*[7]	*[26]	Date[53]	*[53]	Day[53]	2016-05-17[53]	_	_	_	_	_	_	_	_	_	
2-3	17-20	мая	_	_	*	MonthName	-	-	05	*	*[7]	*[26]	Date[53]	*[53]	Day[53]	2016-05-17[53]	_	_	_	_	_	_	_	_	_	
2-4	23-27	2016	_	_	*[2]	Year[2]	-[2]	-[2]	2016[2]	*[2]	*[7]	*[26]	Date[53]	*[53]	Day[53]	2016-05-17[53]	_	_	_	_	_	_	_	_	_	
2-5	28-32	года	_	_	*[2]	Year[2]	-[2]	-[2]	2016[2]	*[2]	*[7]	*[26]	Date[53]	*[53]	Day[53]	2016-05-17[53]	_	_	_	_	_	_	_	_	_	
2-6	33-34	в	_	_	_	_	_	_	_	_	*[7]	*[26]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-7	36-44	Кабинете	_	_	_	_	_	_	_	_	*[7]	*[26]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-8	46-55	Министров	_	_	_	_	_	_	_	_	*[7]	*[26]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-9	57-59	РТ	_	_	_	_	_	_	_	_	*[7]	*[26]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-10	60-69	состоялся	_	_	_	_	_	_	_	_	*[7]	*[26]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-11	70-77	брифинг	_	_	_	_	_	_	_	_	*[7]	*[26]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-12	78-80	по	_	_	_	_	_	_	_	_	*[7]	*[26]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-13	81-87	итогам	_	_	_	_	_	_	_	_	*[7]	*[26]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-14	88-94	визита	_	_	_	_	_	_	_	_	*[7]	*[26]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-15	97-98	в	_	_	_	_	_	_	_	_	*[7]	*[26]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-16	99-106	Австрию	_	_	_	_	_	_	_	_	*[7]	*[26]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-17	109-118	делегации	_	_	_	_	_	_	_	_	*[7]	*[26]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-18	119-121	РТ	_	_	_	_	_	_	_	_	*[7]	*[26]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-19	122-124	во	_	_	_	_	_	_	_	_	*[7]	*[26]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-20	125-130	главе	_	_	_	_	_	_	_	_	*[7]	*[26]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-21	131-132	с	_	_	_	_	_	_	_	_	*[7]	*[26]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-22	134-145	Президентом	_	_	_	_	_	_	_	_	*[7]	*[26]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-23	147-157	Республики	_	_	_	_	_	_	_	_	*[7]	*[26]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-24	158-167	Татарстан	_	_	_	_	_	_	_	_	*[7]	*[26]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-25	168-176	Рустамом	_	_	_	_	_	_	_	_	*[7]	*[26]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-26	177-189	Миннихановым	_	_	_	_	_	_	_	_	*[7]	*[26]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-27	189-190	.	_	_	_	_	_	_	_	_	*[7]	*[26]	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=¶В начале брифинга заместитель Премьер-министра РТ-министр промышленности и торговли РТ Альберт Каримов поздравил представителей медиа-сообщества РТ с предстоящим профессиональным праздником – Днем печати Республики Татарстан.
3-1	194-195	¶	_	_	_	_	_	_	_	_	*[8]	*[27]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-2	195-196	В	_	_	_	_	_	_	_	_	*[8]	*[27]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-3	197-203	начале	_	_	_	_	_	_	_	_	*[8]	*[27]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-4	204-212	брифинга	_	_	_	_	_	_	_	_	*[8]	*[27]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-5	213-224	заместитель	_	_	_	_	_	_	_	_	*[8]	*[27]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-6	225-241	Премьер-министра	_	_	_	_	_	_	_	_	*[8]	*[27]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-7	242-252	РТ-министр	_	_	_	_	_	_	_	_	*[8]	*[27]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-8	253-267	промышленности	_	_	_	_	_	_	_	_	*[8]	*[27]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-9	268-269	и	_	_	_	_	_	_	_	_	*[8]	*[27]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-10	270-278	торговли	_	_	_	_	_	_	_	_	*[8]	*[27]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-11	279-281	РТ	_	_	_	_	_	_	_	_	*[8]	*[27]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-12	282-289	Альберт	_	_	_	_	_	_	_	_	*[8]	*[27]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-13	290-297	Каримов	_	_	_	_	_	_	_	_	*[8]	*[27]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-14	298-307	поздравил	_	_	_	_	_	_	_	_	*[8]	*[27]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-15	308-322	представителей	_	_	_	_	_	_	_	_	*[8]	*[27]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-16	323-339	медиа-сообщества	_	_	_	_	_	_	_	_	*[8]	*[27]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-17	340-342	РТ	_	_	_	_	_	_	_	_	*[8]	*[27]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-18	343-344	с	_	_	_	_	_	_	_	_	*[8]	*[27]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-19	345-356	предстоящим	_	_	_	_	_	_	_	_	*[8]	*[27]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-20	357-373	профессиональным	_	_	_	_	_	_	_	_	*[8]	*[27]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-21	374-384	праздником	_	_	_	_	_	_	_	_	*[8]	*[27]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-22	385-386	–	_	_	_	_	_	_	_	_	*[8]	*[27]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-23	387-391	Днем	_	P1D	_	_	_	_	_	_	*[8]	*[27]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-24	392-398	печати	_	_	_	_	_	_	_	_	*[8]	*[27]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-25	399-409	Республики	_	_	_	_	_	_	_	_	*[8]	*[27]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-26	410-419	Татарстан	_	_	_	_	_	_	_	_	*[8]	*[27]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-27	419-420	.	_	_	_	_	_	_	_	_	*[8]	*[27]	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=¶Затем руководитель Министерства промышленности и торговли РТ Альберт Каримов  проинформировал об итогах состоявшегося визита делегации РТ в Австрию.
4-1	421-422	¶	_	_	_	_	_	_	_	_	*[9]	*[28]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-2	422-427	Затем	_	_	_	_	_	_	_	_	*[9]	*[28]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-3	428-440	руководитель	_	_	_	_	_	_	_	_	*[9]	*[28]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-4	441-453	Министерства	_	_	_	_	_	_	_	_	*[9]	*[28]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-5	454-468	промышленности	_	_	_	_	_	_	_	_	*[9]	*[28]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-6	469-470	и	_	_	_	_	_	_	_	_	*[9]	*[28]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-7	471-479	торговли	_	_	_	_	_	_	_	_	*[9]	*[28]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-8	480-482	РТ	_	_	_	_	_	_	_	_	*[9]	*[28]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-9	483-490	Альберт	_	_	_	_	_	_	_	_	*[9]	*[28]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-10	491-498	Каримов	_	_	_	_	_	_	_	_	*[9]	*[28]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-11	500-515	проинформировал	_	_	_	_	_	_	_	_	*[9]	*[28]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-12	516-518	об	_	_	_	_	_	_	_	_	*[9]	*[28]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-13	519-525	итогах	_	_	_	_	_	_	_	_	*[9]	*[28]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-14	526-539	состоявшегося	_	_	_	_	_	_	_	_	*[9]	*[28]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-15	540-546	визита	_	_	_	_	_	_	_	_	*[9]	*[28]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-16	547-556	делегации	_	_	_	_	_	_	_	_	*[9]	*[28]	_	_	_	_	_	_	_	_	_	_	_	_	_	
