#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DocCreationTime|DayOfWeek
#T_SP=webanno.custom.Paragraph|
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value


#Text=¶2016-05-18
1-1	0-1	¶	_	*[2]	*[7]	_	_	_	_	
1-2	1-5	2016	2016-W20-3[1]	*[2]	*[7]	Date[13]	*[13]	Day[13]	2016-05-18[13]	
1-3	5-6	-	2016-W20-3[1]	*[2]	*[7]	Date[13]	*[13]	Day[13]	2016-05-18[13]	
1-4	6-8	05	2016-W20-3[1]	*[2]	*[7]	Date[13]	*[13]	Day[13]	2016-05-18[13]	
1-5	8-9	-	2016-W20-3[1]	*[2]	*[7]	Date[13]	*[13]	Day[13]	2016-05-18[13]	
1-6	9-11	18	2016-W20-3[1]	*[2]	*[7]	Date[13]	*[13]	Day[13]	2016-05-18[13]	

#Text=¶Премьер-министр России Дмитрий Медведев и премьер-министр Таиланда Прают Чан-Очи после официальной встречи прогулялись по Санкт-Петербургу, сообщает ТАСС.
2-1	12-13	¶	_	*[3]	*[8]	_	_	_	_	
2-2	13-28	Премьер-министр	_	*[3]	*[8]	_	_	_	_	
2-3	29-35	России	_	*[3]	*[8]	_	_	_	_	
2-4	36-43	Дмитрий	_	*[3]	*[8]	_	_	_	_	
2-5	44-52	Медведев	_	*[3]	*[8]	_	_	_	_	
2-6	53-54	и	_	*[3]	*[8]	_	_	_	_	
2-7	55-70	премьер-министр	_	*[3]	*[8]	_	_	_	_	
2-8	71-79	Таиланда	_	*[3]	*[8]	_	_	_	_	
2-9	80-85	Прают	_	*[3]	*[8]	_	_	_	_	
2-10	86-93	Чан-Очи	_	*[3]	*[8]	_	_	_	_	
2-11	94-99	после	_	*[3]	*[8]	_	_	_	_	
2-12	100-111	официальной	_	*[3]	*[8]	_	_	_	_	
2-13	112-119	встречи	_	*[3]	*[8]	_	_	_	_	
2-14	120-131	прогулялись	_	*[3]	*[8]	_	_	_	_	
2-15	132-134	по	_	*[3]	*[8]	_	_	_	_	
2-16	135-151	Санкт-Петербургу	_	*[3]	*[8]	_	_	_	_	
2-17	151-152	,	_	*[3]	*[8]	_	_	_	_	
2-18	153-161	сообщает	_	*[3]	*[8]	_	_	_	_	
2-19	162-166	ТАСС	_	*[3]	*[8]	_	_	_	_	
2-20	166-167	.	_	*[3]	*[8]	_	_	_	_	

