#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DocCreationTime|DayOfWeek
#T_SP=webanno.custom.Field|Category|Gran|ResolveDefault|U_Class|Val|fType
#T_SP=webanno.custom.Paragraph|
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value
#T_RL=webanno.custom.Anaphoric|Comment|Decision|ID|LinkName|Operation|Relation|eClass|uClass|BT_webanno.custom.TxtDate


#Text=¶2016-05-12
1-1	0-1	¶	_	_	_	_	_	_	_	*[2]	*[7]	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-2	1-5	2016	2016-W19-4[1]	_	_	_	_	_	_	*[2]	*[7]	Date[17]	*[17]	Day[17]	2016-05-12[17]	_	_	_	_	_	_	_	_	_	
1-3	5-6	-	2016-W19-4[1]	_	_	_	_	_	_	*[2]	*[7]	Date[17]	*[17]	Day[17]	2016-05-12[17]	_	_	_	_	_	_	_	_	_	
1-4	6-8	05	2016-W19-4[1]	_	_	_	_	_	_	*[2]	*[7]	Date[17]	*[17]	Day[17]	2016-05-12[17]	_	_	_	_	_	_	_	_	_	
1-5	8-9	-	2016-W19-4[1]	_	_	_	_	_	_	*[2]	*[7]	Date[17]	*[17]	Day[17]	2016-05-12[17]	_	_	_	_	_	_	_	_	_	
1-6	9-11	12	2016-W19-4[1]	_	_	_	_	_	_	*[2]	*[7]	Date[17]	*[17]	Day[17]	2016-05-12[17]	_	_	_	_	_	_	_	_	_	

#Text=¶МИНСК, 12 Мая 2016, 20:03 — REGNUM  Министр иностранных дел Российской Федерации Сергей Лавров 15−16 мая посетит с рабочим визитом Белоруссию и обменяется с главой МИД постсоветской республики Владимиром Макеем «мнениями по наиболее актуальным проблемам региональной и глобальной безопасности и стабильности».
2-1	12-13	¶	_	_	_	_	_	_	_	*[3]	*[8]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-2	13-18	МИНСК	_	_	_	_	_	_	_	*[3]	*[8]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-3	18-19	,	_	_	_	_	_	_	_	*[3]	*[8]	_	_	_	_	_	_	_	_	_	_	_	_	_	
