#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DocCreationTime|DayOfWeek
#T_SP=webanno.custom.Field|Category|Gran|ResolveDefault|U_Class|Val|fType
#T_SP=webanno.custom.Paragraph|
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value
#T_RL=webanno.custom.Anaphoric|Comment|Decision|ID|LinkName|Operation|Relation|eClass|uClass|BT_webanno.custom.TxtDate


#Text=¶2016-05-12
1-1	0-1	¶	_	_	_	_	_	_	_	*[2]	*[7]	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-2	1-5	2016	2016-W19-4[1]	_	_	_	_	_	_	*[2]	*[7]	Date[16]	*[16]	Day[16]	2016-05-12[16]	_	_	_	_	_	_	_	_	_	
1-3	5-6	-	2016-W19-4[1]	_	_	_	_	_	_	*[2]	*[7]	Date[16]	*[16]	Day[16]	2016-05-12[16]	_	_	_	_	_	_	_	_	_	
1-4	6-8	05	2016-W19-4[1]	_	_	_	_	_	_	*[2]	*[7]	Date[16]	*[16]	Day[16]	2016-05-12[16]	_	_	_	_	_	_	_	_	_	
1-5	8-9	-	2016-W19-4[1]	_	_	_	_	_	_	*[2]	*[7]	Date[16]	*[16]	Day[16]	2016-05-12[16]	_	_	_	_	_	_	_	_	_	
1-6	9-11	12	2016-W19-4[1]	_	_	_	_	_	_	*[2]	*[7]	Date[16]	*[16]	Day[16]	2016-05-12[16]	_	_	_	_	_	_	_	_	_	

#Text=¶Президент России Владимир Путин обсудил с вице-премьером Дмитрием Рогозиным и главой «Роскосмоса» Игорем Комаровым вопросы, связанные с развитием космодрома Восточный.
2-1	13-14	¶	_	_	_	_	_	_	_	*[3]	*[8]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-2	14-23	Президент	_	_	_	_	_	_	_	*[3]	*[8]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-3	24-30	России	_	_	_	_	_	_	_	*[3]	*[8]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-4	31-39	Владимир	_	_	_	_	_	_	_	*[3]	*[8]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-5	40-45	Путин	_	_	_	_	_	_	_	*[3]	*[8]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-6	46-53	обсудил	_	_	_	_	_	_	_	*[3]	*[8]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-7	54-55	с	_	_	_	_	_	_	_	*[3]	*[8]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-8	56-70	вице-премьером	_	_	_	_	_	_	_	*[3]	*[8]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-9	71-79	Дмитрием	_	_	_	_	_	_	_	*[3]	*[8]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-10	80-89	Рогозиным	_	_	_	_	_	_	_	*[3]	*[8]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-11	90-91	и	_	_	_	_	_	_	_	*[3]	*[8]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-12	92-98	главой	_	_	_	_	_	_	_	*[3]	*[8]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-13	99-100	«	_	_	_	_	_	_	_	*[3]	*[8]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-14	100-110	Роскосмоса	_	_	_	_	_	_	_	*[3]	*[8]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-15	110-111	»	_	_	_	_	_	_	_	*[3]	*[8]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-16	112-118	Игорем	_	_	_	_	_	_	_	*[3]	*[8]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-17	119-128	Комаровым	_	_	_	_	_	_	_	*[3]	*[8]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-18	129-136	вопросы	_	_	_	_	_	_	_	*[3]	*[8]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-19	136-137	,	_	_	_	_	_	_	_	*[3]	*[8]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-20	138-147	связанные	_	_	_	_	_	_	_	*[3]	*[8]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-21	148-149	с	_	_	_	_	_	_	_	*[3]	*[8]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-22	150-159	развитием	_	_	_	_	_	_	_	*[3]	*[8]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-23	160-170	космодрома	_	_	_	_	_	_	_	*[3]	*[8]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-24	171-180	Восточный	_	_	_	_	_	_	_	*[3]	*[8]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-25	180-181	.	_	_	_	_	_	_	_	*[3]	*[8]	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=Об этом журналистам сообщил пресс-секретарь президента Дмитрий Песков, передает ТАСС.
3-1	182-184	Об	_	_	_	_	_	_	_	*[3]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-2	185-189	этом	_	_	_	_	_	_	_	*[3]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-3	190-201	журналистам	_	_	_	_	_	_	_	*[3]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-4	202-209	сообщил	_	_	_	_	_	_	_	*[3]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-5	210-225	пресс-секретарь	_	_	_	_	_	_	_	*[3]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-6	226-236	президента	_	_	_	_	_	_	_	*[3]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-7	237-244	Дмитрий	_	_	_	_	_	_	_	*[3]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-8	245-251	Песков	_	_	_	_	_	_	_	*[3]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-9	251-252	,	_	_	_	_	_	_	_	*[3]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-10	253-261	передает	_	_	_	_	_	_	_	*[3]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-11	262-266	ТАСС	_	_	_	_	_	_	_	*[3]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-12	266-267	.	_	_	_	_	_	_	_	*[3]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=¶«Уже вечером президент провел отдельную встречу с Комаровым и Рогозиным.
4-1	269-270	¶	_	_	_	_	_	_	_	*[4]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-2	270-271	«	_	_	_	_	_	_	_	*[4]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-3	271-274	Уже	_	_	_	_	_	_	_	*[4]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-4	275-282	вечером	_	_	_	_	_	_	_	*[4]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-5	283-292	президент	_	_	_	_	_	_	_	*[4]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-6	293-299	провел	_	_	_	_	_	_	_	*[4]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-7	300-309	отдельную	_	_	_	_	_	_	_	*[4]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-8	310-317	встречу	_	_	_	_	_	_	_	*[4]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-9	318-319	с	_	_	_	_	_	_	_	*[4]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-10	320-329	Комаровым	_	_	_	_	_	_	_	*[4]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-11	330-331	и	_	_	_	_	_	_	_	*[4]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-12	332-341	Рогозиным	_	_	_	_	_	_	_	*[4]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-13	341-342	.	_	_	_	_	_	_	_	*[4]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=Они обсудили различные вопросы, связанные с развитием космодрома Восточный, совершенствованием космической отрасли в целом», — рассказал Песков.
5-1	343-346	Они	_	_	_	_	_	_	_	*[4]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
