#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DocCreationTime|DayOfWeek
#T_SP=webanno.custom.Dur|Value
#T_SP=webanno.custom.Field|Category|Gran|ResolveDefault|U_Class|Val|fType
#T_SP=webanno.custom.Paragraph|
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value
#T_RL=webanno.custom.Anaphoric|Comment|Decision|ID|LinkName|Operation|Relation|eClass|uClass|BT_webanno.custom.TxtDate


#Text=¶2016-05-13
1-1	0-1	¶	_	_	_	_	_	_	_	_	*[5]	*[8]	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-2	1-5	2016	2016-W19-5[1]	_	_	_	_	_	_	_	*[5]	*[8]	Date[15]	*[15]	Day[15]	2016-05-13[15]	_	_	_	_	_	_	_	_	_	
1-3	5-6	-	2016-W19-5[1]	_	_	_	_	_	_	_	*[5]	*[8]	Date[15]	*[15]	Day[15]	2016-05-13[15]	_	_	_	_	_	_	_	_	_	
1-4	6-8	05	2016-W19-5[1]	_	_	_	_	_	_	_	*[5]	*[8]	Date[15]	*[15]	Day[15]	2016-05-13[15]	_	_	_	_	_	_	_	_	_	
1-5	8-9	-	2016-W19-5[1]	_	_	_	_	_	_	_	*[5]	*[8]	Date[15]	*[15]	Day[15]	2016-05-13[15]	_	_	_	_	_	_	_	_	_	
1-6	9-11	13	2016-W19-5[1]	_	_	_	_	_	_	_	*[5]	*[8]	Date[15]	*[15]	Day[15]	2016-05-13[15]	_	_	_	_	_	_	_	_	_	

#Text=¶БУЭНОС-АЙРЕС, 13 Мая 2016, 00:27 — REGNUM   12 мая в Лондоне состоялась первая за четырнадцать лет встреча глав внешнеполитических ведомств Великобритании и Аргентины.
2-1	13-14	¶	_	_	_	_	_	_	_	_	*[6]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-2	14-26	БУЭНОС-АЙРЕС	_	_	_	_	_	_	_	_	*[6]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-3	26-27	,	_	_	_	_	_	_	_	_	*[6]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-4	28-30	13	_	_	*	Day	-	-	13	*	*[6]	*[9]	Date[16]	*[16]	Day[16]	2016-05-13[16]	*	*	*	*	*	*	*	4Y	2-13[17_16]	
2-5	31-34	Мая	_	_	*	MonthName	-	-	05	*	*[6]	*[9]	Date[16]	*[16]	Day[16]	2016-05-13[16]	_	_	_	_	_	_	_	_	_	
2-6	35-39	2016	_	_	*	Year	-	-	2016	*	*[6]	*[9]	Date[16]	*[16]	Day[16]	2016-05-13[16]	_	_	_	_	_	_	_	_	_	
2-7	39-40	,	_	_	_	_	_	_	_	_	*[6]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-8	41-43	00	_	_	_	_	_	_	_	_	*[6]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-9	43-44	:	_	_	_	_	_	_	_	_	*[6]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-10	44-46	27	_	_	_	_	_	_	_	_	*[6]	*[9]	_	_	_	_	_	_	_	_	_	_	_	_	_	
