#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Anchored|To|U_Class
#T_SP=webanno.custom.DocCreationTime|DayOfWeek
#T_SP=webanno.custom.Dur|Value
#T_SP=webanno.custom.Field|Category|Gran|ResolveDefault|U_Class|Val|fType
#T_SP=webanno.custom.Paragraph|
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value
#T_RL=webanno.custom.Anaphoric|Comment|Decision|ID|LinkName|Operation|Relation|eClass|uClass|BT_webanno.custom.TxtDate


#Text=¶2020-08-12
1-1	1-2	¶	_	_	_	_	_	_	_	_	_	_	*[26]	*[59]	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-2	2-6	2020	_	_	2020-W33-3[1]	_	_	_	_	_	_	_	*[26]	*[59]	Date[157]	*[157]	Day[157]	*[157]	_	_	_	_	_	_	_	_	_	
1-3	6-7	-	_	_	2020-W33-3[1]	_	_	_	_	_	_	_	*[26]	*[59]	Date[157]	*[157]	Day[157]	*[157]	_	_	_	_	_	_	_	_	_	
1-4	7-9	08	_	_	2020-W33-3[1]	_	_	_	_	_	_	_	*[26]	*[59]	Date[157]	*[157]	Day[157]	*[157]	_	_	_	_	_	_	_	_	_	
1-5	9-10	-	_	_	2020-W33-3[1]	_	_	_	_	_	_	_	*[26]	*[59]	Date[157]	*[157]	Day[157]	*[157]	_	_	_	_	_	_	_	_	_	
1-6	10-12	12	_	_	2020-W33-3[1]	_	_	_	_	_	_	_	*[26]	*[59]	Date[157]	*[157]	Day[157]	*[157]	_	_	_	_	_	_	_	_	_	

#Text=¶«Я посылал надежных людей с автоматами»
2-1	16-17	¶	_	_	_	_	_	_	_	_	_	_	*[27]	*[60]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-2	17-18	«	_	_	_	_	_	_	_	_	_	_	*[27]	*[60]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-3	18-19	Я	_	_	_	_	_	_	_	_	_	_	*[27]	*[60]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-4	20-27	посылал	_	_	_	_	_	_	_	_	_	_	*[27]	*[60]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-5	28-36	надежных	_	_	_	_	_	_	_	_	_	_	*[27]	*[60]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-6	37-42	людей	_	_	_	_	_	_	_	_	_	_	*[27]	*[60]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-7	43-44	с	_	_	_	_	_	_	_	_	_	_	*[27]	*[60]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-8	45-55	автоматами	_	_	_	_	_	_	_	_	_	_	*[27]	*[60]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-9	55-56	»	_	_	_	_	_	_	_	_	_	_	*[27]	*[60]	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=¶Лукашенко правит Белоруссией уже 25 лет.
3-1	60-61	¶	_	_	_	_	_	_	_	_	_	_	*[28]	*[61]	_	_	_	_	_	_	_	_	_	_	_	_	_	
