#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DocCreationTime|DayOfWeek
#T_SP=webanno.custom.Field|Category|Gran|ResolveDefault|U_Class|Val|fType
#T_SP=webanno.custom.Paragraph|
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value
#T_RL=webanno.custom.Anaphoric|Comment|Decision|ID|LinkName|Operation|Relation|eClass|uClass|BT_webanno.custom.TxtDate


#Text=¶2020-08-24
1-1	1-2	¶	_	_	_	_	_	_	_	*[3]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-2	2-6	2020	2020-W35-1[1]	_	_	_	_	_	_	*[3]	*[10]	Date[23]	*[23]	Day[23]	2020-08-24[23]	_	_	_	_	_	_	_	_	_	
1-3	6-7	-	2020-W35-1[1]	_	_	_	_	_	_	*[3]	*[10]	Date[23]	*[23]	Day[23]	2020-08-24[23]	_	_	_	_	_	_	_	_	_	
1-4	7-9	08	2020-W35-1[1]	_	_	_	_	_	_	*[3]	*[10]	Date[23]	*[23]	Day[23]	2020-08-24[23]	_	_	_	_	_	_	_	_	_	
1-5	9-10	-	2020-W35-1[1]	_	_	_	_	_	_	*[3]	*[10]	Date[23]	*[23]	Day[23]	2020-08-24[23]	_	_	_	_	_	_	_	_	_	
1-6	10-12	24	2020-W35-1[1]	_	_	_	_	_	_	*[3]	*[10]	Date[23]	*[23]	Day[23]	2020-08-24[23]	_	_	_	_	_	_	_	_	_	

#Text=¶Президент Бразилии захотел «дать по морде» журналисту после вопроса о коррупции
2-1	16-17	¶	_	_	_	_	_	_	_	*[4]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-2	17-26	Президент	_	_	_	_	_	_	_	*[4]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-3	27-35	Бразилии	_	_	_	_	_	_	_	*[4]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-4	36-43	захотел	_	_	_	_	_	_	_	*[4]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-5	44-45	«	_	_	_	_	_	_	_	*[4]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-6	45-49	дать	_	_	_	_	_	_	_	*[4]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-7	50-52	по	_	_	_	_	_	_	_	*[4]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-8	53-58	морде	_	_	_	_	_	_	_	*[4]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-9	58-59	»	_	_	_	_	_	_	_	*[4]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-10	60-70	журналисту	_	_	_	_	_	_	_	*[4]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-11	71-76	после	_	_	_	_	_	_	_	*[4]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-12	77-84	вопроса	_	_	_	_	_	_	_	*[4]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-13	85-86	о	_	_	_	_	_	_	_	*[4]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-14	87-96	коррупции	_	_	_	_	_	_	_	*[4]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=¶Президент Бразилии Жаир Болсонару пригрозил ударить репортера по лицу после вопроса о коррупционном деле вокруг его семьи.
3-1	100-101	¶	_	_	_	_	_	_	_	*[5]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-2	101-110	Президент	_	_	_	_	_	_	_	*[5]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-3	111-119	Бразилии	_	_	_	_	_	_	_	*[5]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-4	120-124	Жаир	_	_	_	_	_	_	_	*[5]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-5	125-134	Болсонару	_	_	_	_	_	_	_	*[5]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-6	135-144	пригрозил	_	_	_	_	_	_	_	*[5]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-7	145-152	ударить	_	_	_	_	_	_	_	*[5]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-8	153-162	репортера	_	_	_	_	_	_	_	*[5]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-9	163-165	по	_	_	_	_	_	_	_	*[5]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-10	166-170	лицу	_	_	_	_	_	_	_	*[5]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-11	171-176	после	_	_	_	_	_	_	_	*[5]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-12	177-184	вопроса	_	_	_	_	_	_	_	*[5]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-13	185-186	о	_	_	_	_	_	_	_	*[5]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-14	187-200	коррупционном	_	_	_	_	_	_	_	*[5]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-15	201-205	деле	_	_	_	_	_	_	_	*[5]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
