#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DocCreationTime|DayOfWeek
#T_SP=webanno.custom.Dur|Value
#T_SP=webanno.custom.Field|Category|Gran|ResolveDefault|U_Class|Val|fType
#T_SP=webanno.custom.Paragraph|
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value


#Text=¶2020-08-28
1-1	1-2	¶	_	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	
1-2	2-6	2020	2020-W35-5[1]	_	_	_	_	_	_	_	*[4]	*[12]	Date[27]	*[27]	Day[27]	2020-08-28[27]	
1-3	6-7	-	2020-W35-5[1]	_	_	_	_	_	_	_	*[4]	*[12]	Date[27]	*[27]	Day[27]	2020-08-28[27]	
1-4	7-9	08	2020-W35-5[1]	_	_	_	_	_	_	_	*[4]	*[12]	Date[27]	*[27]	Day[27]	2020-08-28[27]	
1-5	9-10	-	2020-W35-5[1]	_	_	_	_	_	_	_	*[4]	*[12]	Date[27]	*[27]	Day[27]	2020-08-28[27]	
1-6	10-12	28	2020-W35-5[1]	_	_	_	_	_	_	_	*[4]	*[12]	Date[27]	*[27]	Day[27]	2020-08-28[27]	

#Text=¶Украина допустила перенос из Минска переговоров по Донбассу
2-1	16-17	¶	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	
2-2	17-24	Украина	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	
2-3	25-34	допустила	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	
2-4	35-42	перенос	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	
2-5	43-45	из	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	
2-6	46-52	Минска	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	
2-7	53-64	переговоров	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	
2-8	65-67	по	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	
2-9	68-76	Донбассу	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	

#Text=¶Киев следит за ситуацией в Белоруссии и может перенести площадку для переговоров по Донбассу из Минска при необходимости, заявил глава МИД Украины Дмитрий Кулеба.
3-1	80-81	¶	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
3-2	81-85	Киев	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
3-3	86-92	следит	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
3-4	93-95	за	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
3-5	96-105	ситуацией	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
3-6	106-107	в	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
3-7	108-118	Белоруссии	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
3-8	119-120	и	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
3-9	121-126	может	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
3-10	127-136	перенести	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
3-11	137-145	площадку	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
3-12	146-149	для	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
3-13	150-161	переговоров	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
3-14	162-164	по	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
3-15	165-173	Донбассу	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
3-16	174-176	из	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
3-17	177-183	Минска	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
3-18	184-187	при	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
3-19	188-201	необходимости	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
3-20	201-202	,	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
3-21	203-209	заявил	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
3-22	210-215	глава	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
3-23	216-219	МИД	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
3-24	220-227	Украины	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
3-25	228-235	Дмитрий	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
3-26	236-242	Кулеба	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
3-27	242-243	.	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	

#Text=Об этом сообщает РИА Новости со ссылкой на телеканал «1+1».
4-1	244-246	Об	_	_	_	_	_	_	_	_	*[6]	*[15]	_	_	_	_	
4-2	247-251	этом	_	_	_	_	_	_	_	_	*[6]	*[15]	_	_	_	_	
4-3	252-260	сообщает	_	_	_	_	_	_	_	_	*[6]	*[15]	_	_	_	_	
4-4	261-264	РИА	_	_	_	_	_	_	_	_	*[6]	*[15]	_	_	_	_	
4-5	265-272	Новости	_	_	_	_	_	_	_	_	*[6]	*[15]	_	_	_	_	
4-6	273-275	со	_	_	_	_	_	_	_	_	*[6]	*[15]	_	_	_	_	
4-7	276-283	ссылкой	_	_	_	_	_	_	_	_	*[6]	*[15]	_	_	_	_	
4-8	284-286	на	_	_	_	_	_	_	_	_	*[6]	*[15]	_	_	_	_	
4-9	287-296	телеканал	_	_	_	_	_	_	_	_	*[6]	*[15]	_	_	_	_	
4-10	297-298	«	_	_	_	_	_	_	_	_	*[6]	*[15]	_	_	_	_	
4-11	298-299	1	_	_	_	_	_	_	_	_	*[6]	*[15]	_	_	_	_	
4-12	299-300	+	_	_	_	_	_	_	_	_	*[6]	*[15]	_	_	_	_	
4-13	300-301	1	_	_	_	_	_	_	_	_	*[6]	*[15]	_	_	_	_	
4-14	301-302	»	_	_	_	_	_	_	_	_	*[6]	*[15]	_	_	_	_	
4-15	302-303	.	_	_	_	_	_	_	_	_	*[6]	*[15]	_	_	_	_	

#Text=¶При этом министр отметил, что в настоящее время такой необходимости нет.
5-1	307-308	¶	_	_	_	_	_	_	_	_	*[7]	*[16]	_	_	_	_	
5-2	308-311	При	_	_	_	_	_	_	_	_	*[7]	*[16]	_	_	_	_	
5-3	312-316	этом	_	_	_	_	_	_	_	_	*[7]	*[16]	_	_	_	_	
5-4	317-324	министр	_	_	_	_	_	_	_	_	*[7]	*[16]	_	_	_	_	
5-5	325-332	отметил	_	_	_	_	_	_	_	_	*[7]	*[16]	_	_	_	_	
5-6	332-333	,	_	_	_	_	_	_	_	_	*[7]	*[16]	_	_	_	_	
5-7	334-337	что	_	_	_	_	_	_	_	_	*[7]	*[16]	_	_	_	_	
5-8	338-339	в	_	_	_	_	_	_	_	_	*[7]	*[16]	_	_	_	_	
5-9	340-349	настоящее	_	_	_	_	_	_	_	_	*[7]	*[16]	_	_	_	_	
5-10	350-355	время	_	_	_	_	_	_	_	_	*[7]	*[16]	_	_	_	_	
5-11	356-361	такой	_	_	_	_	_	_	_	_	*[7]	*[16]	_	_	_	_	
5-12	362-375	необходимости	_	_	_	_	_	_	_	_	*[7]	*[16]	_	_	_	_	
5-13	376-379	нет	_	_	_	_	_	_	_	_	*[7]	*[16]	_	_	_	_	
5-14	379-380	.	_	_	_	_	_	_	_	_	*[7]	*[16]	_	_	_	_	

#Text=«Сейчас от Минска в этом процессе только название, потому что из-за пандемии все встречи проходят в онлайн-режиме.
6-1	381-382	«	_	_	_	_	_	_	_	_	*[7]	*[17]	_	_	_	_	
6-2	382-388	Сейчас	_	_	_	_	_	_	_	_	*[7]	*[17]	_	_	_	_	
6-3	389-391	от	_	_	_	_	_	_	_	_	*[7]	*[17]	_	_	_	_	
6-4	392-398	Минска	_	_	_	_	_	_	_	_	*[7]	*[17]	_	_	_	_	
6-5	399-400	в	_	_	_	_	_	_	_	_	*[7]	*[17]	_	_	_	_	
6-6	401-405	этом	_	_	_	_	_	_	_	_	*[7]	*[17]	_	_	_	_	
6-7	406-414	процессе	_	_	_	_	_	_	_	_	*[7]	*[17]	_	_	_	_	
6-8	415-421	только	_	_	_	_	_	_	_	_	*[7]	*[17]	_	_	_	_	
6-9	422-430	название	_	_	_	_	_	_	_	_	*[7]	*[17]	_	_	_	_	
6-10	430-431	,	_	_	_	_	_	_	_	_	*[7]	*[17]	_	_	_	_	
6-11	432-438	потому	_	_	_	_	_	_	_	_	*[7]	*[17]	_	_	_	_	
6-12	439-442	что	_	_	_	_	_	_	_	_	*[7]	*[17]	_	_	_	_	
6-13	443-448	из-за	_	_	_	_	_	_	_	_	*[7]	*[17]	_	_	_	_	
6-14	449-457	пандемии	_	_	_	_	_	_	_	_	*[7]	*[17]	_	_	_	_	
6-15	458-461	все	_	_	_	_	_	_	_	_	*[7]	*[17]	_	_	_	_	
6-16	462-469	встречи	_	_	_	_	_	_	_	_	*[7]	*[17]	_	_	_	_	
6-17	470-478	проходят	_	_	_	_	_	_	_	_	*[7]	*[17]	_	_	_	_	
6-18	479-480	в	_	_	_	_	_	_	_	_	*[7]	*[17]	_	_	_	_	
6-19	481-494	онлайн-режиме	_	_	_	_	_	_	_	_	*[7]	*[17]	_	_	_	_	
6-20	494-495	.	_	_	_	_	_	_	_	_	*[7]	*[17]	_	_	_	_	

#Text=Поэтому никто туда не ездит, никакой физической связи с Минском нет, это больше символ в этом плане», — отметил Кулеба.
7-1	496-503	Поэтому	_	_	_	_	_	_	_	_	*[7]	*[18]	_	_	_	_	
7-2	504-509	никто	_	_	_	_	_	_	_	_	*[7]	*[18]	_	_	_	_	
7-3	510-514	туда	_	_	_	_	_	_	_	_	*[7]	*[18]	_	_	_	_	
