#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DocCreationTime|DayOfWeek
#T_SP=webanno.custom.Dur|Value
#T_SP=webanno.custom.Field|Category|Gran|ResolveDefault|U_Class|Val|fType
#T_SP=webanno.custom.Paragraph|
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value
#T_RL=webanno.custom.Anaphoric|Comment|Decision|ID|LinkName|Operation|Relation|eClass|uClass|BT_webanno.custom.TxtDate


#Text=¶2012-09-07
1-1	1-2	¶	_	_	_	_	_	_	_	_	*[7]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-2	2-6	2012	2012-W36-5[1]	_	_	_	_	_	_	_	*[7]	*[14]	Date[29]	*[29]	Day[29]	2012-09-07[29]	_	_	_	_	_	_	_	_	_	
1-3	6-7	-	2012-W36-5[1]	_	_	_	_	_	_	_	*[7]	*[14]	Date[29]	*[29]	Day[29]	2012-09-07[29]	_	_	_	_	_	_	_	_	_	
1-4	7-9	09	2012-W36-5[1]	_	_	_	_	_	_	_	*[7]	*[14]	Date[29]	*[29]	Day[29]	2012-09-07[29]	_	_	_	_	_	_	_	_	_	
1-5	9-10	-	2012-W36-5[1]	_	_	_	_	_	_	_	*[7]	*[14]	Date[29]	*[29]	Day[29]	2012-09-07[29]	_	_	_	_	_	_	_	_	_	
1-6	10-12	07	2012-W36-5[1]	_	_	_	_	_	_	_	*[7]	*[14]	Date[29]	*[29]	Day[29]	2012-09-07[29]	_	_	_	_	_	_	_	_	_	

#Text=¶Президент Азербайджана: Экстрадиция Сафарова соответствует Европейской конвенции
2-1	16-17	¶	_	_	_	_	_	_	_	_	*[8]	*[15]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-2	17-26	Президент	_	_	_	_	_	_	_	_	*[8]	*[15]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-3	27-39	Азербайджана	_	_	_	_	_	_	_	_	*[8]	*[15]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-4	39-40	:	_	_	_	_	_	_	_	_	*[8]	*[15]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-5	41-52	Экстрадиция	_	_	_	_	_	_	_	_	*[8]	*[15]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-6	53-61	Сафарова	_	_	_	_	_	_	_	_	*[8]	*[15]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-7	62-75	соответствует	_	_	_	_	_	_	_	_	*[8]	*[15]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-8	76-87	Европейской	_	_	_	_	_	_	_	_	*[8]	*[15]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-9	88-97	конвенции	_	_	_	_	_	_	_	_	*[8]	*[15]	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=¶Экстрадиция Рамиля Сафарова, осужденного в Венгрии в 2006 году на пожизненное заключение за убийство армянского офицера, соответствует Европейской конвенции, а его помилование - законам Азербайджана.
3-1	101-102	¶	_	_	_	_	_	_	_	_	*[9]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-2	102-113	Экстрадиция	_	_	_	_	_	_	_	_	*[9]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-3	114-120	Рамиля	_	_	_	_	_	_	_	_	*[9]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-4	121-129	Сафарова	_	_	_	_	_	_	_	_	*[9]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-5	129-130	,	_	_	_	_	_	_	_	_	*[9]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-6	131-142	осужденного	_	_	_	_	_	_	_	_	*[9]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-7	143-144	в	_	_	_	_	_	_	_	_	*[9]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-8	145-152	Венгрии	_	_	_	_	_	_	_	_	*[9]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-9	153-154	в	_	_	_	_	_	_	_	_	*[9]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-10	155-159	2006	_	_	*[4]	Year[4]	-[4]	-[4]	2006[4]	*[4]	*[9]	*[16]	Date[30]	*[30]	Year[30]	2006[30]	_	_	_	_	_	_	_	_	_	
3-11	160-164	году	_	_	*[4]	Year[4]	-[4]	-[4]	2006[4]	*[4]	*[9]	*[16]	Date[30]	*[30]	Year[30]	2006[30]	_	_	_	_	_	_	_	_	_	
3-12	165-167	на	_	_	_	_	_	_	_	_	*[9]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-13	168-179	пожизненное	_	_	_	_	_	_	_	_	*[9]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-14	180-190	заключение	_	_	_	_	_	_	_	_	*[9]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-15	191-193	за	_	_	_	_	_	_	_	_	*[9]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-16	194-202	убийство	_	_	_	_	_	_	_	_	*[9]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-17	203-213	армянского	_	_	_	_	_	_	_	_	*[9]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-18	214-221	офицера	_	_	_	_	_	_	_	_	*[9]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-19	221-222	,	_	_	_	_	_	_	_	_	*[9]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-20	223-236	соответствует	_	_	_	_	_	_	_	_	*[9]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-21	237-248	Европейской	_	_	_	_	_	_	_	_	*[9]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-22	249-258	конвенции	_	_	_	_	_	_	_	_	*[9]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-23	258-259	,	_	_	_	_	_	_	_	_	*[9]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-24	260-261	а	_	_	_	_	_	_	_	_	*[9]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-25	262-265	его	_	_	_	_	_	_	_	_	*[9]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-26	266-277	помилование	_	_	_	_	_	_	_	_	*[9]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-27	278-279	-	_	_	_	_	_	_	_	_	*[9]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-28	280-287	законам	_	_	_	_	_	_	_	_	*[9]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-29	288-300	Азербайджана	_	_	_	_	_	_	_	_	*[9]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-30	300-301	.	_	_	_	_	_	_	_	_	*[9]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=Об этом заявил 7 сентября президент Азербайджана Ильхам Алиев во время совместной пресс-конференции в Баку с генеральным секретарем НАТО Андерсом Фог Расмуссеном.
4-1	302-304	Об	_	_	_	_	_	_	_	_	*[9]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-2	305-309	этом	_	_	_	_	_	_	_	_	*[9]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-3	310-316	заявил	_	_	_	_	_	_	_	_	*[9]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-4	317-318	7	_	_	*	Day	-	-	7	*	*[9]	*[17]	Date[31]	*[31]	Day[31]	2012-09-07[31]	_	_	_	_	_	_	_	_	_	
4-5	319-327	сентября	_	_	*	MonthName	DA	4	09	*	*[9]	*[17]	Date[31]	*[31]	Day[31]	2012-09-07[31]	_	_	_	_	_	_	_	_	_	
4-6	328-337	президент	_	_	_	_	_	_	_	_	*[9]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-7	338-350	Азербайджана	_	_	_	_	_	_	_	_	*[9]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-8	351-357	Ильхам	_	_	_	_	_	_	_	_	*[9]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-9	358-363	Алиев	_	_	_	_	_	_	_	_	*[9]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-10	364-366	во	_	_	_	_	_	_	_	_	*[9]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-11	367-372	время	_	_	_	_	_	_	_	_	*[9]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-12	373-383	совместной	_	_	_	_	_	_	_	_	*[9]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-13	384-401	пресс-конференции	_	_	_	_	_	_	_	_	*[9]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-14	402-403	в	_	_	_	_	_	_	_	_	*[9]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-15	404-408	Баку	_	_	_	_	_	_	_	_	*[9]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-16	409-410	с	_	_	_	_	_	_	_	_	*[9]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-17	411-422	генеральным	_	_	_	_	_	_	_	_	*[9]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-18	423-433	секретарем	_	_	_	_	_	_	_	_	*[9]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-19	434-438	НАТО	_	_	_	_	_	_	_	_	*[9]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-20	439-447	Андерсом	_	_	_	_	_	_	_	_	*[9]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-21	448-451	Фог	_	_	_	_	_	_	_	_	*[9]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-22	452-463	Расмуссеном	_	_	_	_	_	_	_	_	*[9]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-23	463-464	.	_	_	_	_	_	_	_	_	*[9]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=¶"Армянская сторона подняла большой шум в связи с помилованием Рамиля Сафаров...
5-1	468-469	¶	_	_	_	_	_	_	_	_	*[10]	*[18]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-2	469-470	"	_	_	_	_	_	_	_	_	*[10]	*[18]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-3	470-479	Армянская	_	_	_	_	_	_	_	_	*[10]	*[18]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-4	480-487	сторона	_	_	_	_	_	_	_	_	*[10]	*[18]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-5	488-495	подняла	_	_	_	_	_	_	_	_	*[10]	*[18]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-6	496-503	большой	_	_	_	_	_	_	_	_	*[10]	*[18]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-7	504-507	шум	_	_	_	_	_	_	_	_	*[10]	*[18]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-8	508-509	в	_	_	_	_	_	_	_	_	*[10]	*[18]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-9	510-515	связи	_	_	_	_	_	_	_	_	*[10]	*[18]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-10	516-517	с	_	_	_	_	_	_	_	_	*[10]	*[18]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-11	518-530	помилованием	_	_	_	_	_	_	_	_	*[10]	*[18]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-12	531-537	Рамиля	_	_	_	_	_	_	_	_	*[10]	*[18]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-13	538-545	Сафаров	_	_	_	_	_	_	_	_	*[10]	*[18]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-14	545-548	...	_	_	_	_	_	_	_	_	*[10]	*[18]	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=Тот, кто говорит, что в данном случае нарушен закон, не знает реалий.
6-1	549-552	Тот	_	_	_	_	_	_	_	_	*[10]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-2	552-553	,	_	_	_	_	_	_	_	_	*[10]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-3	554-557	кто	_	_	_	_	_	_	_	_	*[10]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-4	558-565	говорит	_	_	_	_	_	_	_	_	*[10]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-5	565-566	,	_	_	_	_	_	_	_	_	*[10]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-6	567-570	что	_	_	_	_	_	_	_	_	*[10]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-7	571-572	в	_	_	_	_	_	_	_	_	*[10]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-8	573-579	данном	_	_	_	_	_	_	_	_	*[10]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-9	580-586	случае	_	_	_	_	_	_	_	_	*[10]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-10	587-594	нарушен	_	_	_	_	_	_	_	_	*[10]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-11	595-600	закон	_	_	_	_	_	_	_	_	*[10]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-12	600-601	,	_	_	_	_	_	_	_	_	*[10]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-13	602-604	не	_	_	_	_	_	_	_	_	*[10]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-14	605-610	знает	_	_	_	_	_	_	_	_	*[10]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-15	611-617	реалий	_	_	_	_	_	_	_	_	*[10]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-16	617-618	.	_	_	_	_	_	_	_	_	*[10]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=Армения в переговорном процессе хочет сохранить статус-кво и поэтому использует данный вопрос", - сказал глава государства.
7-1	619-626	Армения	_	_	_	_	_	_	_	_	*[10]	*[20]	_	_	_	_	_	_	_	_	_	_	_	_	_	
7-2	627-628	в	_	_	_	_	_	_	_	_	*[10]	*[20]	_	_	_	_	_	_	_	_	_	_	_	_	_	
7-3	629-641	переговорном	_	_	_	_	_	_	_	_	*[10]	*[20]	_	_	_	_	_	_	_	_	_	_	_	_	_	
7-4	642-650	процессе	_	_	_	_	_	_	_	_	*[10]	*[20]	_	_	_	_	_	_	_	_	_	_	_	_	_	
7-5	651-656	хочет	_	_	_	_	_	_	_	_	*[10]	*[20]	_	_	_	_	_	_	_	_	_	_	_	_	_	
