#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DocCreationTime|DayOfWeek
#T_SP=webanno.custom.Field|Category|Gran|ResolveDefault|U_Class|Val|fType
#T_SP=webanno.custom.Paragraph|
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value


#Text=¶2016-11-07
1-1	1-2	¶	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	
1-2	2-6	2016	2016-W45-1[1]	_	_	_	_	_	_	*[3]	*[11]	Date[25]	*[25]	Day[25]	2016-11-07[25]	
1-3	6-7	-	2016-W45-1[1]	_	_	_	_	_	_	*[3]	*[11]	Date[25]	*[25]	Day[25]	2016-11-07[25]	
1-4	7-9	11	2016-W45-1[1]	_	_	_	_	_	_	*[3]	*[11]	Date[25]	*[25]	Day[25]	2016-11-07[25]	
1-5	9-10	-	2016-W45-1[1]	_	_	_	_	_	_	*[3]	*[11]	Date[25]	*[25]	Day[25]	2016-11-07[25]	
1-6	10-12	07	2016-W45-1[1]	_	_	_	_	_	_	*[3]	*[11]	Date[25]	*[25]	Day[25]	2016-11-07[25]	

#Text=¶Швейцарское секс-кафе заменит проституток роботами
2-1	16-17	¶	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	
2-2	17-28	Швейцарское	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	
2-3	29-38	секс-кафе	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	
2-4	39-46	заменит	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	
2-5	47-58	проституток	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	
2-6	59-67	роботами	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	

#Text=¶Швейцарское секс-кафе намерено использовать роботов вместо проституток, чтобы обойти препятствующие его работе законодательные ограничения.
3-1	71-72	¶	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	
