#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DocCreationTime|DayOfWeek
#T_SP=webanno.custom.Field|Category|Gran|ResolveDefault|U_Class|Val|fType
#T_SP=webanno.custom.Paragraph|
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value
#T_RL=webanno.custom.Anaphoric|Comment|Decision|ID|LinkName|Operation|Relation|eClass|uClass|BT_webanno.custom.TxtDate


#Text=¶2020-06-29
1-1	1-2	¶	_	_	_	_	_	_	_	*[2]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-2	2-6	2020	2020-W27-1[1]	_	_	_	_	_	_	*[2]	*[10]	Date[22]	*[22]	Day[22]	2020-06-29[22]	_	_	_	_	_	_	_	_	_	
1-3	6-7	-	2020-W27-1[1]	_	_	_	_	_	_	*[2]	*[10]	Date[22]	*[22]	Day[22]	2020-06-29[22]	_	_	_	_	_	_	_	_	_	
1-4	7-9	06	2020-W27-1[1]	_	_	_	_	_	_	*[2]	*[10]	Date[22]	*[22]	Day[22]	2020-06-29[22]	_	_	_	_	_	_	_	_	_	
1-5	9-10	-	2020-W27-1[1]	_	_	_	_	_	_	*[2]	*[10]	Date[22]	*[22]	Day[22]	2020-06-29[22]	_	_	_	_	_	_	_	_	_	
1-6	10-12	29	2020-W27-1[1]	_	_	_	_	_	_	*[2]	*[10]	Date[22]	*[22]	Day[22]	2020-06-29[22]	_	_	_	_	_	_	_	_	_	

#Text=¶Цена на бензин в России снова побила рекорд
2-1	16-17	¶	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-2	17-21	Цена	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-3	22-24	на	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-4	25-31	бензин	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-5	32-33	в	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-6	34-40	России	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-7	41-46	снова	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-8	47-53	побила	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-9	54-60	рекорд	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=¶Цена бензина Аи-95 обновила исторический максимум и снова установила рекорд.
3-1	64-65	¶	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-2	65-69	Цена	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-3	70-77	бензина	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-4	78-80	Аи	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-5	80-81	-	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-6	81-83	95	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-7	84-92	обновила	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-8	93-105	исторический	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-9	106-114	максимум	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-10	115-116	и	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-11	117-122	снова	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-12	123-133	установила	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-13	134-140	рекорд	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-14	140-141	.	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=Об том сообщает РИА Новости со ссылкой на данные Санкт-Петербургской международной товарно-сырьевой биржи (СПбМТСБ).
4-1	142-144	Об	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-2	145-148	том	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-3	149-157	сообщает	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-4	158-161	РИА	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-5	162-169	Новости	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-6	170-172	со	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-7	173-180	ссылкой	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-8	181-183	на	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-9	184-190	данные	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-10	191-210	Санкт-Петербургской	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-11	211-224	международной	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-12	225-241	товарно-сырьевой	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-13	242-247	биржи	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-14	248-249	(	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-15	249-256	СПбМТСБ	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-16	256-257	)	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-17	257-258	.	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=¶«Газпром» теряет 1,5 триллиона рублей и рискует сорвать поставки газа в Китай на миллиарды долларов
5-1	262-263	¶	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-2	263-264	«	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-3	264-271	Газпром	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-4	271-272	»	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-5	273-279	теряет	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-6	280-281	1	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-7	281-282	,	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-8	282-283	5	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-9	284-293	триллиона	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
