#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DocCreationTime|DayOfWeek
#T_SP=webanno.custom.Dur|Value
#T_SP=webanno.custom.Field|Category|Gran|ResolveDefault|U_Class|Val|fType
#T_SP=webanno.custom.Paragraph|
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value


#Text=¶2020-04-22
1-1	1-2	¶	_	_	_	_	_	_	_	_	*[2]	*[10]	_	_	_	_	
1-2	2-6	2020	2020-W17-3[1]	_	_	_	_	_	_	_	*[2]	*[10]	Date[23]	*[23]	Day[23]	2020-04-22[23]	
1-3	6-7	-	2020-W17-3[1]	_	_	_	_	_	_	_	*[2]	*[10]	Date[23]	*[23]	Day[23]	2020-04-22[23]	
1-4	7-9	04	2020-W17-3[1]	_	_	_	_	_	_	_	*[2]	*[10]	Date[23]	*[23]	Day[23]	2020-04-22[23]	
1-5	9-10	-	2020-W17-3[1]	_	_	_	_	_	_	_	*[2]	*[10]	Date[23]	*[23]	Day[23]	2020-04-22[23]	
1-6	10-12	22	2020-W17-3[1]	_	_	_	_	_	_	_	*[2]	*[10]	Date[23]	*[23]	Day[23]	2020-04-22[23]	

#Text=¶Украина объяснила предложение отдать ей ненужную нефть
2-1	16-17	¶	_	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	
2-2	17-24	Украина	_	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	
2-3	25-34	объяснила	_	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	
2-4	35-46	предложение	_	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	
2-5	47-53	отдать	_	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	
2-6	54-56	ей	_	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	
2-7	57-65	ненужную	_	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	
2-8	66-71	нефть	_	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	

#Text=¶Украина не сможет хранить у себя принадлежащую другим странам нефть, потому что это противоречит законодательству страны.
3-1	75-76	¶	_	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	
3-2	76-83	Украина	_	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	
3-3	84-86	не	_	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	
3-4	87-93	сможет	_	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	
3-5	94-101	хранить	_	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	
3-6	102-103	у	_	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	
3-7	104-108	себя	_	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	
3-8	109-122	принадлежащую	_	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	
3-9	123-129	другим	_	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	
3-10	130-137	странам	_	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	
3-11	138-143	нефть	_	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	
3-12	143-144	,	_	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	
3-13	145-151	потому	_	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	
3-14	152-155	что	_	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	
3-15	156-159	это	_	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	
3-16	160-172	противоречит	_	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	
3-17	173-189	законодательству	_	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	
3-18	190-196	страны	_	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	
3-19	196-197	.	_	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	

#Text=Таким образом идею исполнительного директора «Нафтогаза» Юрия Витренко прокомментировали в пресс-службе «Укртранснафты», пишет «Интерфакс-Украина».
4-1	198-203	Таким	_	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	
4-2	204-211	образом	_	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	
4-3	212-216	идею	_	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	
4-4	217-232	исполнительного	_	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	
4-5	233-242	директора	_	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	
4-6	243-244	«	_	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	
4-7	244-253	Нафтогаза	_	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	
4-8	253-254	»	_	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	
4-9	255-259	Юрия	_	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	
4-10	260-268	Витренко	_	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	
4-11	269-286	прокомментировали	_	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	
4-12	287-288	в	_	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	
4-13	289-301	пресс-службе	_	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	
4-14	302-303	«	_	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	
4-15	303-316	Укртранснафты	_	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	
4-16	316-317	»	_	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	
4-17	317-318	,	_	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	
4-18	319-324	пишет	_	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	
4-19	325-326	«	_	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	
4-20	326-343	Интерфакс-Украина	_	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	
4-21	343-344	»	_	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	
4-22	344-345	.	_	_	_	_	_	_	_	_	*[4]	*[13]	_	_	_	_	

#Text=¶По закону страна имеет право только закупать импортную нефть и осуществлять ее транзит.
5-1	349-350	¶	_	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
5-2	350-352	По	_	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
5-3	353-359	закону	_	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
5-4	360-366	страна	_	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
5-5	367-372	имеет	_	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
5-6	373-378	право	_	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
5-7	379-385	только	_	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
5-8	386-394	закупать	_	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
5-9	395-404	импортную	_	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
5-10	405-410	нефть	_	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
5-11	411-412	и	_	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
5-12	413-425	осуществлять	_	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
5-13	426-428	ее	_	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
5-14	429-436	транзит	_	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	
5-15	436-437	.	_	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	

#Text=Именно поэтому ставшее ненужным сырье можно только отдать Украине, пояснили в компании.
6-1	438-444	Именно	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	
6-2	445-452	поэтому	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	
6-3	453-460	ставшее	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	
6-4	461-469	ненужным	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	
6-5	470-475	сырье	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	
6-6	476-481	можно	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	
6-7	482-488	только	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	
6-8	489-495	отдать	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	
6-9	496-503	Украине	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	
6-10	503-504	,	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	
6-11	505-513	пояснили	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	
6-12	514-515	в	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	
6-13	516-524	компании	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	
6-14	524-525	.	_	_	_	_	_	_	_	_	*[5]	*[15]	_	_	_	_	

#Text=¶Ранее Витренко предложил передать часть нефти Украине, чтобы поддержать мировой рынок, который испытывает проблемы с нехваткой места для хранения.
7-1	529-530	¶	_	_	_	_	_	_	_	_	*[6]	*[16]	_	_	_	_	
7-2	530-535	Ранее	_	_	_	_	_	_	_	_	*[6]	*[16]	_	_	_	_	
7-3	536-544	Витренко	_	_	_	_	_	_	_	_	*[6]	*[16]	_	_	_	_	
7-4	545-554	предложил	_	_	_	_	_	_	_	_	*[6]	*[16]	_	_	_	_	
7-5	555-563	передать	_	_	_	_	_	_	_	_	*[6]	*[16]	_	_	_	_	
7-6	564-569	часть	_	_	_	_	_	_	_	_	*[6]	*[16]	_	_	_	_	
7-7	570-575	нефти	_	_	_	_	_	_	_	_	*[6]	*[16]	_	_	_	_	
7-8	576-583	Украине	_	_	_	_	_	_	_	_	*[6]	*[16]	_	_	_	_	
7-9	583-584	,	_	_	_	_	_	_	_	_	*[6]	*[16]	_	_	_	_	
7-10	585-590	чтобы	_	_	_	_	_	_	_	_	*[6]	*[16]	_	_	_	_	
7-11	591-601	поддержать	_	_	_	_	_	_	_	_	*[6]	*[16]	_	_	_	_	
7-12	602-609	мировой	_	_	_	_	_	_	_	_	*[6]	*[16]	_	_	_	_	
7-13	610-615	рынок	_	_	_	_	_	_	_	_	*[6]	*[16]	_	_	_	_	
7-14	615-616	,	_	_	_	_	_	_	_	_	*[6]	*[16]	_	_	_	_	
