#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DocCreationTime|DayOfWeek
#T_SP=webanno.custom.Field|Category|Gran|ResolveDefault|U_Class|Val|fType
#T_SP=webanno.custom.Paragraph|
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value
#T_RL=webanno.custom.Anaphoric|Comment|Decision|ID|LinkName|Operation|Relation|eClass|uClass|BT_webanno.custom.TxtDate


#Text=¶2020-09-07
1-1	1-2	¶	_	_	_	_	_	_	_	*[5]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-2	2-6	2020	2020-W37-1[1]	_	_	_	_	_	_	*[5]	*[17]	Date[37]	*[37]	Day[37]	2020-09-07[37]	_	_	_	_	_	_	_	_	_	
1-3	6-7	-	2020-W37-1[1]	_	_	_	_	_	_	*[5]	*[17]	Date[37]	*[37]	Day[37]	2020-09-07[37]	_	_	_	_	_	_	_	_	_	
1-4	7-9	09	2020-W37-1[1]	_	_	_	_	_	_	*[5]	*[17]	Date[37]	*[37]	Day[37]	2020-09-07[37]	_	_	_	_	_	_	_	_	_	
1-5	9-10	-	2020-W37-1[1]	_	_	_	_	_	_	*[5]	*[17]	Date[37]	*[37]	Day[37]	2020-09-07[37]	_	_	_	_	_	_	_	_	_	
1-6	10-12	07	2020-W37-1[1]	_	_	_	_	_	_	*[5]	*[17]	Date[37]	*[37]	Day[37]	2020-09-07[37]	_	_	_	_	_	_	_	_	_	

#Text=¶Ученые СПбГУ назвали легендой завоз кошек в послеблокадный Ленинград
2-1	14-15	¶	_	_	_	_	_	_	_	*[6]	*[18]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-2	15-21	Ученые	_	_	_	_	_	_	_	*[6]	*[18]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-3	22-27	СПбГУ	_	_	_	_	_	_	_	*[6]	*[18]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-4	28-35	назвали	_	_	_	_	_	_	_	*[6]	*[18]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-5	36-44	легендой	_	_	_	_	_	_	_	*[6]	*[18]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-6	45-50	завоз	_	_	_	_	_	_	_	*[6]	*[18]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-7	51-56	кошек	_	_	_	_	_	_	_	*[6]	*[18]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-8	57-58	в	_	_	_	_	_	_	_	*[6]	*[18]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-9	59-73	послеблокадный	_	_	_	_	_	_	_	*[6]	*[18]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-10	74-83	Ленинград	_	_	_	_	_	_	_	*[6]	*[18]	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=¶Ученые Санкт-Петербургского государственного университета назвали легендой массовый завоз кошек в послеблокадный Ленинград, пишет «Интерфакс».
3-1	87-88	¶	_	_	_	_	_	_	_	*[7]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-2	88-94	Ученые	_	_	_	_	_	_	_	*[7]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-3	95-115	Санкт-Петербургского	_	_	_	_	_	_	_	*[7]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-4	116-132	государственного	_	_	_	_	_	_	_	*[7]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-5	133-145	университета	_	_	_	_	_	_	_	*[7]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-6	146-153	назвали	_	_	_	_	_	_	_	*[7]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-7	154-162	легендой	_	_	_	_	_	_	_	*[7]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-8	163-171	массовый	_	_	_	_	_	_	_	*[7]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-9	172-177	завоз	_	_	_	_	_	_	_	*[7]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-10	178-183	кошек	_	_	_	_	_	_	_	*[7]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-11	184-185	в	_	_	_	_	_	_	_	*[7]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-12	186-200	послеблокадный	_	_	_	_	_	_	_	*[7]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-13	201-210	Ленинград	_	_	_	_	_	_	_	*[7]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-14	210-211	,	_	_	_	_	_	_	_	*[7]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-15	212-217	пишет	_	_	_	_	_	_	_	*[7]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-16	218-219	«	_	_	_	_	_	_	_	*[7]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-17	219-228	Интерфакс	_	_	_	_	_	_	_	*[7]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-18	228-229	»	_	_	_	_	_	_	_	*[7]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-19	229-230	.	_	_	_	_	_	_	_	*[7]	*[19]	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=¶В пресс-службе вуза сообщили, что профессоры СПбГУ Владимир Пянкевич и Олег Пленков, а также исследовательница Татьяна Сохор изучили письма, дневники и воспоминания жителей города.
4-1	232-233	¶	_	_	_	_	_	_	_	*[8]	*[20]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-2	233-234	В	_	_	_	_	_	_	_	*[8]	*[20]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-3	235-247	пресс-службе	_	_	_	_	_	_	_	*[8]	*[20]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-4	248-252	вуза	_	_	_	_	_	_	_	*[8]	*[20]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-5	253-261	сообщили	_	_	_	_	_	_	_	*[8]	*[20]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-6	261-262	,	_	_	_	_	_	_	_	*[8]	*[20]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-7	263-266	что	_	_	_	_	_	_	_	*[8]	*[20]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-8	267-277	профессоры	_	_	_	_	_	_	_	*[8]	*[20]	_	_	_	_	_	_	_	_	_	_	_	_	_	
