#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DocCreationTime|DayOfWeek
#T_SP=webanno.custom.Dur|Value
#T_SP=webanno.custom.Field|Category|Gran|ResolveDefault|U_Class|Val|fType
#T_SP=webanno.custom.Paragraph|
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value


#Text=¶2018-01-22
1-1	1-2	¶	_	_	_	_	_	_	_	_	*[9]	*[18]	_	_	_	_	
1-2	2-6	2018	2018-W04-1[1]	_	_	_	_	_	_	_	*[9]	*[18]	Date[39]	*[39]	Day[39]	2018-01-22[39]	
1-3	6-7	-	2018-W04-1[1]	_	_	_	_	_	_	_	*[9]	*[18]	Date[39]	*[39]	Day[39]	2018-01-22[39]	
1-4	7-9	01	2018-W04-1[1]	_	_	_	_	_	_	_	*[9]	*[18]	Date[39]	*[39]	Day[39]	2018-01-22[39]	
1-5	9-10	-	2018-W04-1[1]	_	_	_	_	_	_	_	*[9]	*[18]	Date[39]	*[39]	Day[39]	2018-01-22[39]	
1-6	10-12	22	2018-W04-1[1]	_	_	_	_	_	_	_	*[9]	*[18]	Date[39]	*[39]	Day[39]	2018-01-22[39]	

#Text=¶Воронежские сосульки ускоряют карьерный рост
2-1	16-17	¶	_	_	_	_	_	_	_	_	*[10]	*[19]	_	_	_	_	
2-2	17-28	Воронежские	_	_	_	_	_	_	_	_	*[10]	*[19]	_	_	_	_	
2-3	29-37	сосульки	_	_	_	_	_	_	_	_	*[10]	*[19]	_	_	_	_	
2-4	38-46	ускоряют	_	_	_	_	_	_	_	_	*[10]	*[19]	_	_	_	_	
2-5	47-56	карьерный	_	_	_	_	_	_	_	_	*[10]	*[19]	_	_	_	_	
2-6	57-61	рост	_	_	_	_	_	_	_	_	*[10]	*[19]	_	_	_	_	

#Text=¶Исполняющим обязанности первого заместителя главы администрации Воронежа по городскому хозяйству назначен Сергей Петрин.
3-1	66-67	¶	_	_	_	_	_	_	_	_	*[11]	*[20]	_	_	_	_	
3-2	67-78	Исполняющим	_	_	_	_	_	_	_	_	*[11]	*[20]	_	_	_	_	
3-3	79-90	обязанности	_	_	_	_	_	_	_	_	*[11]	*[20]	_	_	_	_	
3-4	91-98	первого	_	_	_	_	_	_	_	_	*[11]	*[20]	_	_	_	_	
3-5	99-110	заместителя	_	_	_	_	_	_	_	_	*[11]	*[20]	_	_	_	_	
3-6	111-116	главы	_	_	_	_	_	_	_	_	*[11]	*[20]	_	_	_	_	
3-7	117-130	администрации	_	_	_	_	_	_	_	_	*[11]	*[20]	_	_	_	_	
3-8	131-139	Воронежа	_	_	_	_	_	_	_	_	*[11]	*[20]	_	_	_	_	
3-9	140-142	по	_	_	_	_	_	_	_	_	*[11]	*[20]	_	_	_	_	
3-10	143-153	городскому	_	_	_	_	_	_	_	_	*[11]	*[20]	_	_	_	_	
3-11	154-163	хозяйству	_	_	_	_	_	_	_	_	*[11]	*[20]	_	_	_	_	
3-12	164-172	назначен	_	_	_	_	_	_	_	_	*[11]	*[20]	_	_	_	_	
3-13	173-179	Сергей	_	_	_	_	_	_	_	_	*[11]	*[20]	_	_	_	_	
3-14	180-186	Петрин	_	_	_	_	_	_	_	_	*[11]	*[20]	_	_	_	_	
3-15	186-187	.	_	_	_	_	_	_	_	_	*[11]	*[20]	_	_	_	_	

#Text=Информация об этом размещена на сайте администрации Воронежа.
4-1	188-198	Информация	_	_	_	_	_	_	_	_	*[11]	*[21]	_	_	_	_	
4-2	199-201	об	_	_	_	_	_	_	_	_	*[11]	*[21]	_	_	_	_	
4-3	202-206	этом	_	_	_	_	_	_	_	_	*[11]	*[21]	_	_	_	_	
4-4	207-216	размещена	_	_	_	_	_	_	_	_	*[11]	*[21]	_	_	_	_	
4-5	217-219	на	_	_	_	_	_	_	_	_	*[11]	*[21]	_	_	_	_	
4-6	220-225	сайте	_	_	_	_	_	_	_	_	*[11]	*[21]	_	_	_	_	
4-7	226-239	администрации	_	_	_	_	_	_	_	_	*[11]	*[21]	_	_	_	_	
4-8	240-248	Воронежа	_	_	_	_	_	_	_	_	*[11]	*[21]	_	_	_	_	
4-9	248-249	.	_	_	_	_	_	_	_	_	*[11]	*[21]	_	_	_	_	

#Text=¶О новом чиновнике мэрии известно, что ему 42 года, он уроженец Белгородской области.
5-1	253-254	¶	_	_	_	_	_	_	_	_	*[12]	*[22]	_	_	_	_	
5-2	254-255	О	_	_	_	_	_	_	_	_	*[12]	*[22]	_	_	_	_	
5-3	256-261	новом	_	_	_	_	_	_	_	_	*[12]	*[22]	_	_	_	_	
5-4	262-271	чиновнике	_	_	_	_	_	_	_	_	*[12]	*[22]	_	_	_	_	
5-5	272-277	мэрии	_	_	_	_	_	_	_	_	*[12]	*[22]	_	_	_	_	
5-6	278-286	известно	_	_	_	_	_	_	_	_	*[12]	*[22]	_	_	_	_	
5-7	286-287	,	_	_	_	_	_	_	_	_	*[12]	*[22]	_	_	_	_	
5-8	288-291	что	_	_	_	_	_	_	_	_	*[12]	*[22]	_	_	_	_	
5-9	292-295	ему	_	_	_	_	_	_	_	_	*[12]	*[22]	_	_	_	_	
