#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Dur|Value
#T_SP=webanno.custom.Field|Category|Gran|ResolveDefault|U_Class|Val|fType
#T_SP=webanno.custom.Paragraph|
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value
#T_RL=webanno.custom.Anaphoric|Comment|Decision|ID|LinkName|Operation|Relation|eClass|uClass|BT_webanno.custom.TxtDate


#Text=¶Sanofi и GSK переносят публикацию данных о бустерной дозе вакцины от COVID-19
1-1	0-1	¶	_	_	_	_	_	_	_	*[9]	*[21]	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-2	1-7	Sanofi	_	_	_	_	_	_	_	*[9]	*[21]	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-3	8-9	и	_	_	_	_	_	_	_	*[9]	*[21]	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-4	10-13	GSK	_	_	_	_	_	_	_	*[9]	*[21]	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-5	14-23	переносят	_	_	_	_	_	_	_	*[9]	*[21]	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-6	24-34	публикацию	_	_	_	_	_	_	_	*[9]	*[21]	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-7	35-41	данных	_	_	_	_	_	_	_	*[9]	*[21]	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-8	42-43	о	_	_	_	_	_	_	_	*[9]	*[21]	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-9	44-53	бустерной	_	_	_	_	_	_	_	*[9]	*[21]	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-10	54-58	дозе	_	_	_	_	_	_	_	*[9]	*[21]	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-11	59-66	вакцины	_	_	_	_	_	_	_	*[9]	*[21]	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-12	67-69	от	_	_	_	_	_	_	_	*[9]	*[21]	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-13	70-75	COVID	_	_	_	_	_	_	_	*[9]	*[21]	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-14	75-76	-	_	_	_	_	_	_	_	*[9]	*[21]	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-15	76-78	19	_	_	_	_	_	_	_	*[9]	*[21]	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=¶15.12.2021
2-1	80-81	¶	_	_	_	_	_	_	_	*[10]	*[22]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-2	81-83	15	_	_	_	_	_	_	_	*[10]	*[22]	Date[39]	*[39]	Day[39]	*[39]	_	_	_	_	_	_	_	_	_	
2-3	83-84	.	_	_	_	_	_	_	_	*[10]	*[22]	Date[39]	*[39]	Day[39]	*[39]	_	_	_	_	_	_	_	_	_	
2-4	84-86	12	_	_	_	_	_	_	_	*[10]	*[22]	Date[39]	*[39]	Day[39]	*[39]	_	_	_	_	_	_	_	_	_	
2-5	86-87	.	_	_	_	_	_	_	_	*[10]	*[22]	Date[39]	*[39]	Day[39]	*[39]	_	_	_	_	_	_	_	_	_	
2-6	87-91	2021	_	_	_	_	_	_	_	*[10]	*[22]	Date[39]	*[39]	Day[39]	*[39]	_	_	_	_	_	_	_	_	_	

#Text=¶15:31
3-1	93-94	¶	_	_	_	_	_	_	_	*[11]	*[23]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-2	94-96	15	_	_	_	_	_	_	_	*[11]	*[23]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-3	96-97	:	_	_	_	_	_	_	_	*[11]	*[23]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-4	97-99	31	_	_	_	_	_	_	_	*[11]	*[23]	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=¶Николай Соколов
4-1	103-104	¶	_	_	_	_	_	_	_	*[12]	*[24]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-2	104-111	Николай	_	_	_	_	_	_	_	*[12]	*[24]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-3	112-119	Соколов	_	_	_	_	_	_	_	*[12]	*[24]	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=¶Sanofi и GSK перенесли на следующий год публикацию данных о бустерной вакцине против COVID-19.
5-1	121-122	¶	_	_	_	_	_	_	_	*[13]	*[25]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-2	122-128	Sanofi	_	_	_	_	_	_	_	*[13]	*[25]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-3	129-130	и	_	_	_	_	_	_	_	*[13]	*[25]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-4	131-134	GSK	_	_	_	_	_	_	_	*[13]	*[25]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-5	135-144	перенесли	_	_	_	_	_	_	_	*[13]	*[25]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-6	145-147	на	_	_	_	_	_	_	_	*[13]	*[25]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-7	148-157	следующий	_	*[2]	Year[2]	DA[2]	1[2]	*[2]	*[2]	*[13]	*[25]	Date[40]	*[40]	Year[40]	*[40]	_	_	_	_	_	_	_	_	_	
5-8	158-161	год	_	*[2]	Year[2]	DA[2]	1[2]	*[2]	*[2]	*[13]	*[25]	Date[40]	*[40]	Year[40]	*[40]	_	_	_	_	_	_	_	_	_	
5-9	162-172	публикацию	_	_	_	_	_	_	_	*[13]	*[25]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-10	173-179	данных	_	_	_	_	_	_	_	*[13]	*[25]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-11	180-181	о	_	_	_	_	_	_	_	*[13]	*[25]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-12	182-191	бустерной	_	_	_	_	_	_	_	*[13]	*[25]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-13	192-199	вакцине	_	_	_	_	_	_	_	*[13]	*[25]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-14	200-206	против	_	_	_	_	_	_	_	*[13]	*[25]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-15	207-212	COVID	_	_	_	_	_	_	_	*[13]	*[25]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-16	212-213	-	_	_	_	_	_	_	_	*[13]	*[25]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-17	213-215	19	_	_	_	_	_	_	_	*[13]	*[25]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-18	215-216	.	_	_	_	_	_	_	_	*[13]	*[25]	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=При этом компании заявили, что препарат обеспечивает хороший иммунный ответ.
6-1	217-220	При	_	_	_	_	_	_	_	*[13]	*[26]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-2	221-225	этом	_	_	_	_	_	_	_	*[13]	*[26]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-3	226-234	компании	_	_	_	_	_	_	_	*[13]	*[26]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-4	235-242	заявили	_	_	_	_	_	_	_	*[13]	*[26]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-5	242-243	,	_	_	_	_	_	_	_	*[13]	*[26]	_	_	_	_	_	_	_	_	_	_	_	_	_	
6-6	244-247	что	_	_	_	_	_	_	_	*[13]	*[26]	_	_	_	_	_	_	_	_	_	_	_	_	_	
