#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Anchored|To|U_Class
#T_SP=webanno.custom.DocCreationTime|DayOfWeek
#T_SP=webanno.custom.Field|Category|Gran|ResolveDefault|U_Class|Val|fType
#T_SP=webanno.custom.Paragraph|
#T_SP=webanno.custom.Restored|Through|U_Class
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value
#T_RL=webanno.custom.Anaphoric|Comment|Decision|ID|LinkName|Operation|Relation|eClass|uClass|BT_webanno.custom.TxtDate


#Text=¶2013-07-10
1-1	1-2	¶	_	_	_	_	_	_	_	_	_	*[23]	_	_	*[31]	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-2	2-6	2013	_	_	2013-W28-3[7]	_	_	_	_	_	_	*[23]	_	_	*[31]	Date[55]	*[55]	*[55]	2013-07-10[55]	_	_	_	_	_	_	_	_	_	
1-3	6-7	-	_	_	2013-W28-3[7]	_	_	_	_	_	_	*[23]	_	_	*[31]	Date[55]	*[55]	*[55]	2013-07-10[55]	_	_	_	_	_	_	_	_	_	
1-4	7-9	07	_	_	2013-W28-3[7]	_	_	_	_	_	_	*[23]	_	_	*[31]	Date[55]	*[55]	*[55]	2013-07-10[55]	_	_	_	_	_	_	_	_	_	
1-5	9-10	-	_	_	2013-W28-3[7]	_	_	_	_	_	_	*[23]	_	_	*[31]	Date[55]	*[55]	*[55]	2013-07-10[55]	_	_	_	_	_	_	_	_	_	
1-6	10-12	10	_	_	2013-W28-3[7]	_	_	_	_	_	_	*[23]	_	_	*[31]	Date[55]	*[55]	*[55]	2013-07-10[55]	_	_	_	_	_	_	_	_	_	

#Text=¶Интернет притормозил
2-1	16-17	¶	_	_	_	_	_	_	_	_	_	*[24]	_	_	*[32]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-2	17-25	Интернет	_	_	_	_	_	_	_	_	_	*[24]	_	_	*[32]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-3	26-37	притормозил	_	_	_	_	_	_	_	_	_	*[24]	_	_	*[32]	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=¶Российский рынок широкополосного интернет-доступа рос в первой половине 2013 г. необычно медленно: пользователей стало больше, чем годом ранее, всего на 10,8%
3-1	41-42	¶	_	_	_	_	_	_	_	_	_	*[25]	_	_	*[33]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-2	42-52	Российский	_	_	_	_	_	_	_	_	_	*[25]	_	_	*[33]	_	_	_	_	_	_	_	_	_	_	_	_	_	
