#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DocCreationTime|DayOfWeek
#T_SP=webanno.custom.Field|Category|Gran|ResolveDefault|U_Class|Val|fType
#T_SP=webanno.custom.Paragraph|
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value
#T_RL=webanno.custom.Anaphoric|Comment|Decision|ID|LinkName|Operation|Relation|eClass|uClass|BT_webanno.custom.TxtDate


#Text=¶2020-04-15
1-1	1-2	¶	_	_	_	_	_	_	_	*[2]	*[10]	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-2	2-6	2020	2020-W16-3[1]	_	_	_	_	_	_	*[2]	*[10]	Date[21]	*[21]	Day[21]	*[21]	_	_	_	_	_	_	_	_	_	
1-3	6-7	-	2020-W16-3[1]	_	_	_	_	_	_	*[2]	*[10]	Date[21]	*[21]	Day[21]	*[21]	_	_	_	_	_	_	_	_	_	
1-4	7-9	04	2020-W16-3[1]	_	_	_	_	_	_	*[2]	*[10]	Date[21]	*[21]	Day[21]	*[21]	_	_	_	_	_	_	_	_	_	
1-5	9-10	-	2020-W16-3[1]	_	_	_	_	_	_	*[2]	*[10]	Date[21]	*[21]	Day[21]	*[21]	_	_	_	_	_	_	_	_	_	
1-6	10-12	15	2020-W16-3[1]	_	_	_	_	_	_	*[2]	*[10]	Date[21]	*[21]	Day[21]	*[21]	_	_	_	_	_	_	_	_	_	

#Text=¶СБЕРБАНК: СПРОС НА ИПОТЕКУ РАСТЕТ ПОСЛЕ СПАДА В НАЧАЛЕ МЕСЯЦА
2-1	16-17	¶	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-2	17-25	СБЕРБАНК	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-3	25-26	:	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-4	27-32	СПРОС	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-5	33-35	НА	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-6	36-43	ИПОТЕКУ	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-7	44-50	РАСТЕТ	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-8	51-56	ПОСЛЕ	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-9	57-62	СПАДА	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-10	63-64	В	_	_	_	_	_	_	_	*[3]	*[11]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-11	65-71	НАЧАЛЕ	_	*	Phase	*	*	START	*	*[3]	*[11]	Date[22]	*[22]	Month[22]	*[22]	_	_	_	_	_	_	_	_	_	
2-12	72-78	МЕСЯЦА	_	*	Month	DA	6	Unknown	*	*[3]	*[11]	Date[22]	*[22]	Month[22]	*[22]	_	_	_	_	_	_	_	_	_	

#Text=¶Сбербанк зафиксировал рост числа заявок на ипотечные кредиты с 13 апреля, после спада спроса на такие кредиты в начале месяца, сообщили ТАСС в пресс-службе кредитной организации.
3-1	82-83	¶	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-2	83-91	Сбербанк	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-3	92-104	зафиксировал	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-4	105-109	рост	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-5	110-115	числа	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-6	116-122	заявок	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-7	123-125	на	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-8	126-135	ипотечные	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-9	136-143	кредиты	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-10	144-145	с	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-11	146-148	13	_	*	Day	-	-	13	*	*[4]	*[12]	Date[23]	*[23]	Day[23]	*[23]	_	_	_	_	_	_	_	_	_	
3-12	149-155	апреля	_	*	MonthName	DA	4	АПРЕЛЬ	*	*[4]	*[12]	Date[23]	*[23]	Day[23]	*[23]	_	_	_	_	_	_	_	_	_	
3-13	155-156	,	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-14	157-162	после	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-15	163-168	спада	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-16	169-175	спроса	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-17	176-178	на	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-18	179-184	такие	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-19	185-192	кредиты	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-20	193-194	в	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-21	195-201	начале	_	*	Phase	*	*	START	*	*[4]	*[12]	Date[24]	*[24]	Month[24]	*[24]	_	_	_	_	_	_	_	_	_	
3-22	202-208	месяца	_	*	Month	DA	6	Unknown	*	*[4]	*[12]	Date[24]	*[24]	Month[24]	*[24]	_	_	_	_	_	_	_	_	_	
3-23	208-209	,	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-24	210-218	сообщили	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-25	219-223	ТАСС	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-26	224-225	в	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-27	226-238	пресс-службе	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-28	239-248	кредитной	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-29	249-260	организации	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-30	260-261	.	_	_	_	_	_	_	_	*[4]	*[12]	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=¶"С 30 марта по 9 апреля количество поступающих заявок было значительно ниже, сравнимо с показателями выходных или праздничных дней.
4-1	265-266	¶	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-2	266-267	"	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-3	267-268	С	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-4	269-271	30	_	*	Day	-	-	30	*	*[5]	*[13]	Date[25]	*[25]	Day[25]	*[25]	*	*	*	*	*	*	*	4Y	4-7[26_25]	
4-5	272-277	марта	_	*	MonthName	DA	4	МАРТ	*	*[5]	*[13]	Date[25]	*[25]	Day[25]	*[25]	_	_	_	_	_	_	_	_	_	
4-6	278-280	по	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-7	281-282	9	_	*	Day	-	-	9	*	*[5]	*[13]	Date[26]	*[26]	Day[26]	*[26]	_	_	_	_	_	_	_	_	_	
4-8	283-289	апреля	_	*	MonthName	DA	4	АПРЕЛЬ	*	*[5]	*[13]	Date[26]	*[26]	Day[26]	*[26]	_	_	_	_	_	_	_	_	_	
4-9	290-300	количество	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-10	301-312	поступающих	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-11	313-319	заявок	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-12	320-324	было	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-13	325-336	значительно	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-14	337-341	ниже	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-15	341-342	,	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-16	343-351	сравнимо	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-17	352-353	с	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-18	354-366	показателями	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-19	367-375	выходных	_	*	WeekEnd	DA	4	ВЫХОДНЫЕ	*	*[5]	*[13]	Date	*	WeekEnd	*	_	_	_	_	_	_	_	_	_	
4-20	376-379	или	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-21	380-391	праздничных	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-22	392-396	дней	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-23	396-397	.	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=С 13 апреля мы видим тренд роста числа заявок на ипотечные кредиты Сбербанка", - отметили в банке.
5-1	398-399	С	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-2	400-402	13	_	*	Day	-	-	13	*	*[5]	*[14]	Date[27]	*[27]	Day[27]	*[27]	_	_	_	_	_	_	_	_	_	
5-3	403-409	апреля	_	*	MonthName	DA	4	АПРЕЛЬ	*	*[5]	*[14]	Date[27]	*[27]	Day[27]	*[27]	_	_	_	_	_	_	_	_	_	
5-4	410-412	мы	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-5	413-418	видим	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-6	419-424	тренд	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-7	425-430	роста	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-8	431-436	числа	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-9	437-443	заявок	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-10	444-446	на	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-11	447-456	ипотечные	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-12	457-464	кредиты	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-13	465-474	Сбербанка	_	_	_	_	_	_	_	*[5]	*[14]	_	_	_	_	_	_	_	_	_	_	_	_	_	
