#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Anchored|To|U_Class
#T_SP=webanno.custom.DocCreationTime|DayOfWeek
#T_SP=webanno.custom.Dur|Value
#T_SP=webanno.custom.Field|Category|Gran|ResolveDefault|U_Class|Val|fType
#T_SP=webanno.custom.Paragraph|
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value
#T_RL=webanno.custom.Anaphoric|Comment|Decision|ID|LinkName|Operation|Relation|eClass|uClass|BT_webanno.custom.TxtDate


#Text=¶2018-10-01
1-1	1-2	¶	_	_	_	_	_	_	_	_	_	_	*[53]	*[115]	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-2	2-6	2018	_	_	2018-W40-1[1]	_	_	_	_	_	_	_	*[53]	*[115]	Date[295]	*[295]	Day[295]	2018-10-01[295]	_	_	_	_	_	_	_	_	_	
1-3	6-7	-	_	_	2018-W40-1[1]	_	_	_	_	_	_	_	*[53]	*[115]	Date[295]	*[295]	Day[295]	2018-10-01[295]	_	_	_	_	_	_	_	_	_	
1-4	7-9	10	_	_	2018-W40-1[1]	_	_	_	_	_	_	_	*[53]	*[115]	Date[295]	*[295]	Day[295]	2018-10-01[295]	_	_	_	_	_	_	_	_	_	
1-5	9-10	-	_	_	2018-W40-1[1]	_	_	_	_	_	_	_	*[53]	*[115]	Date[295]	*[295]	Day[295]	2018-10-01[295]	_	_	_	_	_	_	_	_	_	
1-6	10-12	01	_	_	2018-W40-1[1]	_	_	_	_	_	_	_	*[53]	*[115]	Date[295]	*[295]	Day[295]	2018-10-01[295]	_	_	_	_	_	_	_	_	_	

#Text=¶«Сталин не придавал значения бумажкам»
2-1	16-17	¶	_	_	_	_	_	_	_	_	_	_	*[54]	*[116]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-2	17-18	«	_	_	_	_	_	_	_	_	_	_	*[54]	*[116]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-3	18-24	Сталин	_	_	_	_	_	_	_	_	_	_	*[54]	*[116]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-4	25-27	не	_	_	_	_	_	_	_	_	_	_	*[54]	*[116]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-5	28-36	придавал	_	_	_	_	_	_	_	_	_	_	*[54]	*[116]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-6	37-45	значения	_	_	_	_	_	_	_	_	_	_	*[54]	*[116]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-7	46-54	бумажкам	_	_	_	_	_	_	_	_	_	_	*[54]	*[116]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-8	54-55	»	_	_	_	_	_	_	_	_	_	_	*[54]	*[116]	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=¶Кто на самом деле начал Вторую мировую войну
3-1	59-60	¶	_	_	_	_	_	_	_	_	_	_	*[55]	*[117]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-2	60-63	Кто	_	_	_	_	_	_	_	_	_	_	*[55]	*[117]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-3	64-66	на	_	_	_	_	_	_	_	_	_	_	*[55]	*[117]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-4	67-72	самом	_	_	_	_	_	_	_	_	_	_	*[55]	*[117]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-5	73-77	деле	_	_	_	_	_	_	_	_	_	_	*[55]	*[117]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-6	78-83	начал	_	_	_	_	_	_	_	_	_	_	*[55]	*[117]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-7	84-90	Вторую	_	_	_	_	_	_	_	_	_	_	*[55]	*[117]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-8	91-98	мировую	_	_	_	_	_	_	_	_	_	_	*[55]	*[117]	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-9	99-104	войну	_	_	_	_	_	_	_	_	_	_	*[55]	*[117]	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=¶80 лет назад, 30 сентября 1938 года в Мюнхене лидеры Германии, Франции, Италии и Великобритании решили судьбу Чехословакии.
4-1	108-109	¶	_	_	_	_	_	_	_	_	_	_	*[56]	*[118]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-2	109-111	80	_	_	_	P80Y[2]	_	_	_	_	_	_	*[56]	*[118]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-3	112-115	лет	_	_	_	P80Y[2]	_	_	_	_	_	_	*[56]	*[118]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-4	116-121	назад	_	_	_	_	_	_	_	_	_	_	*[56]	*[118]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-5	121-122	,	_	_	_	_	_	_	_	_	_	_	*[56]	*[118]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-6	123-125	30	_	_	_	_	*	Day	-	-	30	*	*[56]	*[118]	Date[296]	*[296]	Day[296]	1938-09-30[296]	_	_	_	_	_	_	_	_	_	
4-7	126-134	сентября	_	_	_	_	*	MonthName	-	-	09	*	*[56]	*[118]	Date[296]	*[296]	Day[296]	1938-09-30[296]	_	_	_	_	_	_	_	_	_	
4-8	135-139	1938	_	_	_	_	*[6]	Year[6]	-[6]	-[6]	1938[6]	*[6]	*[56]	*[118]	Date[296]	*[296]	Day[296]	1938-09-30[296]	_	_	_	_	_	_	_	_	_	
4-9	140-144	года	_	_	_	_	*[6]	Year[6]	-[6]	-[6]	1938[6]	*[6]	*[56]	*[118]	Date[296]	*[296]	Day[296]	1938-09-30[296]	_	_	_	_	_	_	_	_	_	
4-10	145-146	в	_	_	_	_	_	_	_	_	_	_	*[56]	*[118]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-11	147-154	Мюнхене	_	_	_	_	_	_	_	_	_	_	*[56]	*[118]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-12	155-161	лидеры	_	_	_	_	_	_	_	_	_	_	*[56]	*[118]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-13	162-170	Германии	_	_	_	_	_	_	_	_	_	_	*[56]	*[118]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-14	170-171	,	_	_	_	_	_	_	_	_	_	_	*[56]	*[118]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-15	172-179	Франции	_	_	_	_	_	_	_	_	_	_	*[56]	*[118]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-16	179-180	,	_	_	_	_	_	_	_	_	_	_	*[56]	*[118]	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-17	181-187	Италии	_	_	_	_	_	_	_	_	_	_	*[56]	*[118]	_	_	_	_	_	_	_	_	_	_	_	_	_	
