#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Anchored|To|U_Class
#T_SP=webanno.custom.DocCreationTime|DayOfWeek
#T_SP=webanno.custom.Field|Category|Gran|ResolveDefault|U_Class|Val|fType
#T_SP=webanno.custom.Restored|Through|U_Class
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.ShiftExp|Formula
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value


#Text=¶2019-02-25
1-1	1-2	¶	_	_	_	_	_	_	_	_	_	_	_	*[5]	_	_	_	_	_	
1-2	2-6	2019	_	_	2019-W09-1[2]	_	_	_	_	_	_	_	_	*[5]	_	*[20]	*[20]	*[20]	*[20]	
1-3	6-7	-	_	_	2019-W09-1[2]	_	_	_	_	_	_	_	_	*[5]	_	*[20]	*[20]	*[20]	*[20]	
1-4	7-9	02	_	_	2019-W09-1[2]	_	_	_	_	_	_	_	_	*[5]	_	*[20]	*[20]	*[20]	*[20]	
1-5	9-10	-	_	_	2019-W09-1[2]	_	_	_	_	_	_	_	_	*[5]	_	*[20]	*[20]	*[20]	*[20]	
1-6	10-12	25	_	_	2019-W09-1[2]	_	_	_	_	_	_	_	_	*[5]	_	*[20]	*[20]	*[20]	*[20]	

#Text=¶Бывший милиционер Мстиславского РОВД избивал задержанных.
2-1	16-17	¶	_	_	_	_	_	_	_	_	_	_	_	*[6]	_	_	_	_	_	
2-2	17-23	Бывший	_	_	_	_	_	_	_	_	_	_	_	*[6]	_	_	_	_	_	
2-3	24-34	милиционер	_	_	_	_	_	_	_	_	_	_	_	*[6]	_	_	_	_	_	
2-4	35-48	Мстиславского	_	_	_	_	_	_	_	_	_	_	_	*[6]	_	_	_	_	_	
2-5	49-53	РОВД	_	_	_	_	_	_	_	_	_	_	_	*[6]	_	_	_	_	_	
2-6	54-61	избивал	_	_	_	_	_	_	_	_	_	_	_	*[6]	_	_	_	_	_	
2-7	62-73	задержанных	_	_	_	_	_	_	_	_	_	_	_	*[6]	_	_	_	_	_	
2-8	73-74	.	_	_	_	_	_	_	_	_	_	_	_	*[6]	_	_	_	_	_	

#Text=Теперь он под следствием
3-1	75-81	Теперь	_	_	_	_	_	_	_	_	_	_	_	*[7]	_	_	_	_	_	
3-2	82-84	он	_	_	_	_	_	_	_	_	_	_	_	*[7]	_	_	_	_	_	
3-3	85-88	под	_	_	_	_	_	_	_	_	_	_	_	*[7]	_	_	_	_	_	
3-4	89-99	следствием	_	_	_	_	_	_	_	_	_	_	_	*[7]	_	_	_	_	_	

#Text=¶Благодаря блогеру возбуждено уголовное дело за превышение служебных полномочий в отношении уже бывшего участкового милиционера в Мстиславском районе.
4-1	103-104	¶	_	_	_	_	_	_	_	_	_	_	_	*[8]	_	_	_	_	_	
4-2	104-113	Благодаря	_	_	_	_	_	_	_	_	_	_	_	*[8]	_	_	_	_	_	
4-3	114-121	блогеру	_	_	_	_	_	_	_	_	_	_	_	*[8]	_	_	_	_	_	
4-4	122-132	возбуждено	_	_	_	_	_	_	_	_	_	_	_	*[8]	_	_	_	_	_	
4-5	133-142	уголовное	_	_	_	_	_	_	_	_	_	_	_	*[8]	_	_	_	_	_	
4-6	143-147	дело	_	_	_	_	_	_	_	_	_	_	_	*[8]	_	_	_	_	_	
4-7	148-150	за	_	_	_	_	_	_	_	_	_	_	_	*[8]	_	_	_	_	_	
4-8	151-161	превышение	_	_	_	_	_	_	_	_	_	_	_	*[8]	_	_	_	_	_	
4-9	162-171	служебных	_	_	_	_	_	_	_	_	_	_	_	*[8]	_	_	_	_	_	
4-10	172-182	полномочий	_	_	_	_	_	_	_	_	_	_	_	*[8]	_	_	_	_	_	
4-11	183-184	в	_	_	_	_	_	_	_	_	_	_	_	*[8]	_	_	_	_	_	
4-12	185-194	отношении	_	_	_	_	_	_	_	_	_	_	_	*[8]	_	_	_	_	_	
4-13	195-198	уже	_	_	_	_	_	_	_	_	_	_	_	*[8]	_	_	_	_	_	
4-14	199-206	бывшего	_	_	_	_	_	_	_	_	_	_	_	*[8]	_	_	_	_	_	
4-15	207-218	участкового	_	_	_	_	_	_	_	_	_	_	_	*[8]	_	_	_	_	_	
4-16	219-230	милиционера	_	_	_	_	_	_	_	_	_	_	_	*[8]	_	_	_	_	_	
4-17	231-232	в	_	_	_	_	_	_	_	_	_	_	_	*[8]	_	_	_	_	_	
4-18	233-245	Мстиславском	_	_	_	_	_	_	_	_	_	_	_	*[8]	_	_	_	_	_	
4-19	246-252	районе	_	_	_	_	_	_	_	_	_	_	_	*[8]	_	_	_	_	_	
4-20	252-253	.	_	_	_	_	_	_	_	_	_	_	_	*[8]	_	_	_	_	_	

#Text=По предварительным данным, он в здании РОВД избил двух задержанных.
5-1	254-256	По	_	_	_	_	_	_	_	_	_	_	_	*[9]	_	_	_	_	_	
5-2	257-272	предварительным	_	_	_	_	_	_	_	_	_	_	_	*[9]	_	_	_	_	_	
5-3	273-279	данным	_	_	_	_	_	_	_	_	_	_	_	*[9]	_	_	_	_	_	
5-4	279-280	,	_	_	_	_	_	_	_	_	_	_	_	*[9]	_	_	_	_	_	
5-5	281-283	он	_	_	_	_	_	_	_	_	_	_	_	*[9]	_	_	_	_	_	
5-6	284-285	в	_	_	_	_	_	_	_	_	_	_	_	*[9]	_	_	_	_	_	
5-7	286-292	здании	_	_	_	_	_	_	_	_	_	_	_	*[9]	_	_	_	_	_	
5-8	293-297	РОВД	_	_	_	_	_	_	_	_	_	_	_	*[9]	_	_	_	_	_	
5-9	298-303	избил	_	_	_	_	_	_	_	_	_	_	_	*[9]	_	_	_	_	_	
5-10	304-308	двух	_	_	_	_	_	_	_	_	_	_	_	*[9]	_	_	_	_	_	
5-11	309-320	задержанных	_	_	_	_	_	_	_	_	_	_	_	*[9]	_	_	_	_	_	
5-12	320-321	.	_	_	_	_	_	_	_	_	_	_	_	*[9]	_	_	_	_	_	

#Text=¶Фото оперативной милицейской сводки для внутреннего пользования за 18 февраля опубликовал телеграм-канал NEXTA.
6-1	325-326	¶	_	_	_	_	_	_	_	_	_	_	_	*[10]	_	_	_	_	_	
6-2	326-330	Фото	_	_	_	_	_	_	_	_	_	_	_	*[10]	_	_	_	_	_	
6-3	331-342	оперативной	_	_	_	_	_	_	_	_	_	_	_	*[10]	_	_	_	_	_	
6-4	343-354	милицейской	_	_	_	_	_	_	_	_	_	_	_	*[10]	_	_	_	_	_	
6-5	355-361	сводки	_	_	_	_	_	_	_	_	_	_	_	*[10]	_	_	_	_	_	
6-6	362-365	для	_	_	_	_	_	_	_	_	_	_	_	*[10]	_	_	_	_	_	
6-7	366-377	внутреннего	_	_	_	_	_	_	_	_	_	_	_	*[10]	_	_	_	_	_	
6-8	378-389	пользования	_	_	_	_	_	_	_	_	_	_	_	*[10]	_	_	_	_	_	
6-9	390-392	за	_	_	_	_	_	_	_	_	_	_	_	*[10]	_	_	_	_	_	
6-10	393-395	18	_	_	_	Day	*	*	*	*	*	_	_	*[10]	_	*[21]	*[21]	*[21]	*[21]	
6-11	396-403	февраля	_	_	_	MonthName	*	*	*	*	*	DCT	4	*[10]	_	*[21]	*[21]	*[21]	*[21]	
6-12	404-415	опубликовал	_	_	_	_	_	_	_	_	_	_	_	*[10]	_	_	_	_	_	
6-13	416-430	телеграм-канал	_	_	_	_	_	_	_	_	_	_	_	*[10]	_	_	_	_	_	
6-14	431-436	NEXTA	_	_	_	_	_	_	_	_	_	_	_	*[10]	_	_	_	_	_	
6-15	436-437	.	_	_	_	_	_	_	_	_	_	_	_	*[10]	_	_	_	_	_	

#Text=В тексте указано также, что 32-летнего участкового инспектора милиции Раева уволили из ОВД 6 февраля «за совершение проступка, предусмотренного контрактом о службе в качестве основания для его досрочного расторжения».
7-1	438-439	В	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-2	440-446	тексте	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-3	447-454	указано	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-4	455-460	также	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-5	460-461	,	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-6	462-465	что	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-7	466-468	32	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-8	468-469	-	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-9	469-476	летнего	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-10	477-488	участкового	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-11	489-499	инспектора	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-12	500-507	милиции	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-13	508-513	Раева	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-14	514-521	уволили	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-15	522-524	из	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-16	525-528	ОВД	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-17	529-530	6	_	_	_	Day	*	*	*	*	*	_	_	*[11]	_	*[22]	*[22]	*[22]	*[22]	
7-18	531-538	февраля	_	_	_	MonthName	*	*	*	*	*	DCT	4	*[11]	_	*[22]	*[22]	*[22]	*[22]	
7-19	539-540	«	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-20	540-542	за	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-21	543-553	совершение	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-22	554-563	проступка	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-23	563-564	,	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-24	565-581	предусмотренного	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-25	582-592	контрактом	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-26	593-594	о	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-27	595-601	службе	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-28	602-603	в	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-29	604-612	качестве	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-30	613-622	основания	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-31	623-626	для	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-32	627-630	его	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-33	631-641	досрочного	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-34	642-653	расторжения	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-35	653-654	»	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	
7-36	654-655	.	_	_	_	_	_	_	_	_	_	_	_	*[11]	_	_	_	_	_	

#Text=А за 2,5 месяца до этого, 16 ноября, Раев, по предварительным данным, избил в здании Мстиславского РОВД двоих мужчин — жителей деревни Коробчино.
8-1	656-657	А	_	_	_	_	_	_	_	_	_	_	_	*[12]	_	_	_	_	_	
8-2	658-660	за	Text[1]	7-A[1]	_	_	_	_	_	_	_	_	_	*[12]	*[19]	_	_	_	_	
8-3	661-662	2	Text[1]	7-A[1]	_	_	_	_	_	_	_	_	_	*[12]	*[19]	_	_	_	_	
8-4	662-663	,	Text[1]	7-A[1]	_	_	_	_	_	_	_	_	_	*[12]	*[19]	_	_	_	_	
8-5	663-664	5	Text[1]	7-A[1]	_	_	_	_	_	_	_	_	_	*[12]	*[19]	_	_	_	_	
8-6	665-671	месяца	Text[1]	7-A[1]	_	_	_	_	_	_	_	_	_	*[12]	*[19]	_	_	_	_	
8-7	672-674	до	_	_	_	_	_	_	_	_	_	_	_	*[12]	_	_	_	_	_	
8-8	675-680	этого	_	_	_	_	_	_	_	_	_	_	_	*[12]	_	_	_	_	_	
8-9	680-681	,	_	_	_	_	_	_	_	_	_	_	_	*[12]	_	_	_	_	_	
8-10	682-684	16	_	_	_	Day	*	*	*	*	*	_	_	*[12]	_	*[23]	*[23]	*[23]	*[23]	
8-11	685-691	ноября	_	_	_	MonthName	*	*	*	*	*	DCT	4	*[12]	_	*[23]	*[23]	*[23]	*[23]	
8-12	691-692	,	_	_	_	_	_	_	_	_	_	_	_	*[12]	_	_	_	_	_	
8-13	693-697	Раев	_	_	_	_	_	_	_	_	_	_	_	*[12]	_	_	_	_	_	
8-14	697-698	,	_	_	_	_	_	_	_	_	_	_	_	*[12]	_	_	_	_	_	
8-15	699-701	по	_	_	_	_	_	_	_	_	_	_	_	*[12]	_	_	_	_	_	
8-16	702-717	предварительным	_	_	_	_	_	_	_	_	_	_	_	*[12]	_	_	_	_	_	
8-17	718-724	данным	_	_	_	_	_	_	_	_	_	_	_	*[12]	_	_	_	_	_	
8-18	724-725	,	_	_	_	_	_	_	_	_	_	_	_	*[12]	_	_	_	_	_	
8-19	726-731	избил	_	_	_	_	_	_	_	_	_	_	_	*[12]	_	_	_	_	_	
8-20	732-733	в	_	_	_	_	_	_	_	_	_	_	_	*[12]	_	_	_	_	_	
8-21	734-740	здании	_	_	_	_	_	_	_	_	_	_	_	*[12]	_	_	_	_	_	
8-22	741-754	Мстиславского	_	_	_	_	_	_	_	_	_	_	_	*[12]	_	_	_	_	_	
8-23	755-759	РОВД	_	_	_	_	_	_	_	_	_	_	_	*[12]	_	_	_	_	_	
8-24	760-765	двоих	_	_	_	_	_	_	_	_	_	_	_	*[12]	_	_	_	_	_	
8-25	766-772	мужчин	_	_	_	_	_	_	_	_	_	_	_	*[12]	_	_	_	_	_	
8-26	773-774	—	_	_	_	_	_	_	_	_	_	_	_	*[12]	_	_	_	_	_	
8-27	775-782	жителей	_	_	_	_	_	_	_	_	_	_	_	*[12]	_	_	_	_	_	
8-28	783-790	деревни	_	_	_	_	_	_	_	_	_	_	_	*[12]	_	_	_	_	_	
8-29	791-800	Коробчино	_	_	_	_	_	_	_	_	_	_	_	*[12]	_	_	_	_	_	
8-30	800-801	.	_	_	_	_	_	_	_	_	_	_	_	*[12]	_	_	_	_	_	

#Text=¶“В отношении бывшего участкового Раева действительно возбуждено уголовное дело по ч. 3 ст. 426 УК РБ”, — подтвердили порталу TUT.
9-1	805-806	¶	_	_	_	_	_	_	_	_	_	_	_	*[13]	_	_	_	_	_	
9-2	806-807	“	_	_	_	_	_	_	_	_	_	_	_	*[13]	_	_	_	_	_	
9-3	807-808	В	_	_	_	_	_	_	_	_	_	_	_	*[13]	_	_	_	_	_	
9-4	809-818	отношении	_	_	_	_	_	_	_	_	_	_	_	*[13]	_	_	_	_	_	
9-5	819-826	бывшего	_	_	_	_	_	_	_	_	_	_	_	*[13]	_	_	_	_	_	
9-6	827-838	участкового	_	_	_	_	_	_	_	_	_	_	_	*[13]	_	_	_	_	_	
9-7	839-844	Раева	_	_	_	_	_	_	_	_	_	_	_	*[13]	_	_	_	_	_	
9-8	845-858	действительно	_	_	_	_	_	_	_	_	_	_	_	*[13]	_	_	_	_	_	
9-9	859-869	возбуждено	_	_	_	_	_	_	_	_	_	_	_	*[13]	_	_	_	_	_	
9-10	870-879	уголовное	_	_	_	_	_	_	_	_	_	_	_	*[13]	_	_	_	_	_	
9-11	880-884	дело	_	_	_	_	_	_	_	_	_	_	_	*[13]	_	_	_	_	_	
9-12	885-887	по	_	_	_	_	_	_	_	_	_	_	_	*[13]	_	_	_	_	_	
9-13	888-889	ч	_	_	_	_	_	_	_	_	_	_	_	*[13]	_	_	_	_	_	
9-14	889-890	.	_	_	_	_	_	_	_	_	_	_	_	*[13]	_	_	_	_	_	
9-15	891-892	3	_	_	_	_	_	_	_	_	_	_	_	*[13]	_	_	_	_	_	
9-16	893-895	ст	_	_	_	_	_	_	_	_	_	_	_	*[13]	_	_	_	_	_	
9-17	895-896	.	_	_	_	_	_	_	_	_	_	_	_	*[13]	_	_	_	_	_	
9-18	897-900	426	_	_	_	_	_	_	_	_	_	_	_	*[13]	_	_	_	_	_	
9-19	901-903	УК	_	_	_	_	_	_	_	_	_	_	_	*[13]	_	_	_	_	_	
9-20	904-906	РБ	_	_	_	_	_	_	_	_	_	_	_	*[13]	_	_	_	_	_	
