#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DocCreationTime|DayOfWeek
#T_SP=webanno.custom.Dur|Value
#T_SP=webanno.custom.Field|Category|Gran|ResolveDefault|U_Class|Val|fType
#T_SP=webanno.custom.Paragraph|
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value


#Text=¶2019-03-19
1-1	1-2	¶	_	_	_	_	_	_	_	_	*[5]	*[13]	_	_	_	_	
1-2	2-6	2019	2019-W12-2[1]	_	_	_	_	_	_	_	*[5]	*[13]	Date[31]	*[31]	Day[31]	*[31]	
1-3	6-7	-	2019-W12-2[1]	_	_	_	_	_	_	_	*[5]	*[13]	Date[31]	*[31]	Day[31]	*[31]	
1-4	7-9	03	2019-W12-2[1]	_	_	_	_	_	_	_	*[5]	*[13]	Date[31]	*[31]	Day[31]	*[31]	
1-5	9-10	-	2019-W12-2[1]	_	_	_	_	_	_	_	*[5]	*[13]	Date[31]	*[31]	Day[31]	*[31]	
1-6	10-12	19	2019-W12-2[1]	_	_	_	_	_	_	_	*[5]	*[13]	Date[31]	*[31]	Day[31]	*[31]	

#Text=¶Камару Усман: "У меня было 5 операций на коленях.
2-1	16-17	¶	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
2-2	17-23	Камару	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
2-3	24-29	Усман	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
2-4	29-30	:	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
2-5	31-32	"	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
2-6	32-33	У	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
2-7	34-38	меня	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
2-8	39-43	было	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
2-9	44-45	5	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
2-10	46-54	операций	_	_	_	_	_	_	_	_	*[6]	*[14]	_	_	_	_	
