#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Anchored|To|U_Class
#T_SP=webanno.custom.DocCreationTime|DayOfWeek
#T_SP=webanno.custom.Dur|Value
#T_SP=webanno.custom.Field|Category|Gran|ResolveDefault|U_Class|Val|fType
#T_SP=webanno.custom.Paragraph|
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value


#Text=¶2019-03-25
1-1	1-2	¶	_	_	_	_	_	_	_	_	_	_	*[4]	*[10]	_	_	_	_	
1-2	2-6	2019	_	_	2019-W13-1[1]	_	_	_	_	_	_	_	*[4]	*[10]	Date[24]	*[24]	Day[24]	*[24]	
1-3	6-7	-	_	_	2019-W13-1[1]	_	_	_	_	_	_	_	*[4]	*[10]	Date[24]	*[24]	Day[24]	*[24]	
1-4	7-9	03	_	_	2019-W13-1[1]	_	_	_	_	_	_	_	*[4]	*[10]	Date[24]	*[24]	Day[24]	*[24]	
1-5	9-10	-	_	_	2019-W13-1[1]	_	_	_	_	_	_	_	*[4]	*[10]	Date[24]	*[24]	Day[24]	*[24]	
1-6	10-12	25	_	_	2019-W13-1[1]	_	_	_	_	_	_	_	*[4]	*[10]	Date[24]	*[24]	Day[24]	*[24]	

#Text=¶Дональд Трамп подписал декларацию о признании Голанских высот частью Израиля.
2-1	16-17	¶	_	_	_	_	_	_	_	_	_	_	*[5]	*[11]	_	_	_	_	
2-2	17-24	Дональд	_	_	_	_	_	_	_	_	_	_	*[5]	*[11]	_	_	_	_	
2-3	25-30	Трамп	_	_	_	_	_	_	_	_	_	_	*[5]	*[11]	_	_	_	_	
2-4	31-39	подписал	_	_	_	_	_	_	_	_	_	_	*[5]	*[11]	_	_	_	_	
2-5	40-50	декларацию	_	_	_	_	_	_	_	_	_	_	*[5]	*[11]	_	_	_	_	
2-6	51-52	о	_	_	_	_	_	_	_	_	_	_	*[5]	*[11]	_	_	_	_	
2-7	53-62	признании	_	_	_	_	_	_	_	_	_	_	*[5]	*[11]	_	_	_	_	
2-8	63-72	Голанских	_	_	_	_	_	_	_	_	_	_	*[5]	*[11]	_	_	_	_	
2-9	73-78	высот	_	_	_	_	_	_	_	_	_	_	*[5]	*[11]	_	_	_	_	
2-10	79-85	частью	_	_	_	_	_	_	_	_	_	_	*[5]	*[11]	_	_	_	_	
2-11	86-93	Израиля	_	_	_	_	_	_	_	_	_	_	*[5]	*[11]	_	_	_	_	
2-12	93-94	.	_	_	_	_	_	_	_	_	_	_	*[5]	*[11]	_	_	_	_	

#Text=¶Территория принадлежала Сирии с 1944 по 1967 год, а затем была захвачена в ходе Шестидневной войны еврейским государством.
3-1	99-100	¶	_	_	_	_	_	_	_	_	_	_	*[6]	*[12]	_	_	_	_	
3-2	100-110	Территория	_	_	_	_	_	_	_	_	_	_	*[6]	*[12]	_	_	_	_	
3-3	111-123	принадлежала	_	_	_	_	_	_	_	_	_	_	*[6]	*[12]	_	_	_	_	
3-4	124-129	Сирии	_	_	_	_	_	_	_	_	_	_	*[6]	*[12]	_	_	_	_	
3-5	130-131	с	_	_	_	_	_	_	_	_	_	_	*[6]	*[12]	_	_	_	_	
3-6	132-136	1944	_	_	_	_	*	Year	-	-	1944	*	*[6]	*[12]	*	*	Year	*	
3-7	137-139	по	_	_	_	_	_	_	_	_	_	_	*[6]	*[12]	_	_	_	_	
3-8	140-144	1967	_	_	_	_	*[3]	Year[3]	-[3]	-[3]	1967[3]	*[3]	*[6]	*[12]	Date[25]	*[25]	Year[25]	*[25]	
3-9	145-148	год	_	_	_	_	*[3]	Year[3]	-[3]	-[3]	1967[3]	*[3]	*[6]	*[12]	Date[25]	*[25]	Year[25]	*[25]	
3-10	148-149	,	_	_	_	_	_	_	_	_	_	_	*[6]	*[12]	_	_	_	_	
3-11	150-151	а	_	_	_	_	_	_	_	_	_	_	*[6]	*[12]	_	_	_	_	
3-12	152-157	затем	_	_	_	_	_	_	_	_	_	_	*[6]	*[12]	_	_	_	_	
3-13	158-162	была	_	_	_	_	_	_	_	_	_	_	*[6]	*[12]	_	_	_	_	
3-14	163-172	захвачена	_	_	_	_	_	_	_	_	_	_	*[6]	*[12]	_	_	_	_	
3-15	173-174	в	_	_	_	_	_	_	_	_	_	_	*[6]	*[12]	_	_	_	_	
3-16	175-179	ходе	_	_	_	_	_	_	_	_	_	_	*[6]	*[12]	_	_	_	_	
3-17	180-192	Шестидневной	_	_	_	_	_	_	_	_	_	_	*[6]	*[12]	_	_	_	_	
3-18	193-198	войны	_	_	_	_	_	_	_	_	_	_	*[6]	*[12]	_	_	_	_	
