#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.DocCreationTime|DayOfWeek
#T_SP=webanno.custom.Dur|Value
#T_SP=webanno.custom.Field|Category|Gran|ResolveDefault|U_Class|Val|fType
#T_SP=webanno.custom.Paragraph|
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value
#T_RL=webanno.custom.Anaphoric|Comment|Decision|ID|LinkName|Operation|Relation|eClass|uClass|BT_webanno.custom.TxtDate


#Text=¶2019-03-26
1-1	1-2	¶	_	_	_	_	_	_	_	_	*[3]	*[16]	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-2	2-6	2019	2019-W13-2[1]	_	_	_	_	_	_	_	*[3]	*[16]	Date[37]	*[37]	Day[37]	*[37]	_	_	_	_	_	_	_	_	_	
1-3	6-7	-	2019-W13-2[1]	_	_	_	_	_	_	_	*[3]	*[16]	Date[37]	*[37]	Day[37]	*[37]	_	_	_	_	_	_	_	_	_	
1-4	7-9	03	2019-W13-2[1]	_	_	_	_	_	_	_	*[3]	*[16]	Date[37]	*[37]	Day[37]	*[37]	_	_	_	_	_	_	_	_	_	
1-5	9-10	-	2019-W13-2[1]	_	_	_	_	_	_	_	*[3]	*[16]	Date[37]	*[37]	Day[37]	*[37]	_	_	_	_	_	_	_	_	_	
1-6	10-12	26	2019-W13-2[1]	_	_	_	_	_	_	_	*[3]	*[16]	Date[37]	*[37]	Day[37]	*[37]	_	_	_	_	_	_	_	_	_	

#Text=¶США отрицают отношение к атаке на посольство КНДР в Испании
2-1	16-17	¶	_	_	_	_	_	_	_	_	*[4]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-2	17-20	США	_	_	_	_	_	_	_	_	*[4]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-3	21-29	отрицают	_	_	_	_	_	_	_	_	*[4]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-4	30-39	отношение	_	_	_	_	_	_	_	_	*[4]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-5	40-41	к	_	_	_	_	_	_	_	_	*[4]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-6	42-47	атаке	_	_	_	_	_	_	_	_	*[4]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-7	48-50	на	_	_	_	_	_	_	_	_	*[4]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-8	51-61	посольство	_	_	_	_	_	_	_	_	*[4]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-9	62-66	КНДР	_	_	_	_	_	_	_	_	*[4]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-10	67-68	в	_	_	_	_	_	_	_	_	*[4]	*[17]	_	_	_	_	_	_	_	_	_	_	_	_	_	
