#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Anchored|To|U_Class
#T_SP=webanno.custom.DocCreationTime|DayOfWeek
#T_SP=webanno.custom.Dur|Value
#T_SP=webanno.custom.Field|Category|Gran|ResolveDefault|U_Class|Val|fType
#T_SP=webanno.custom.Paragraph|
#T_SP=webanno.custom.Sentence|
#T_SP=webanno.custom.TxtDate|Category|Formula|Gran|Value


#Text=¶2019-02-22
1-1	1-2	¶	_	_	_	_	_	_	_	_	_	_	*[15]	*[45]	_	_	_	_	
1-2	2-6	2019	_	_	2019-W08-5[1]	_	_	_	_	_	_	_	*[15]	*[45]	Date[126]	*[126]	Day[126]	*[126]	
1-3	6-7	-	_	_	2019-W08-5[1]	_	_	_	_	_	_	_	*[15]	*[45]	Date[126]	*[126]	Day[126]	*[126]	
1-4	7-9	02	_	_	2019-W08-5[1]	_	_	_	_	_	_	_	*[15]	*[45]	Date[126]	*[126]	Day[126]	*[126]	
1-5	9-10	-	_	_	2019-W08-5[1]	_	_	_	_	_	_	_	*[15]	*[45]	Date[126]	*[126]	Day[126]	*[126]	
1-6	10-12	22	_	_	2019-W08-5[1]	_	_	_	_	_	_	_	*[15]	*[45]	Date[126]	*[126]	Day[126]	*[126]	

#Text=¶Лучший боец в истории ММА завершил карьеру.
2-1	16-17	¶	_	_	_	_	_	_	_	_	_	_	*[16]	*[46]	_	_	_	_	
2-2	17-23	Лучший	_	_	_	_	_	_	_	_	_	_	*[16]	*[46]	_	_	_	_	
2-3	24-28	боец	_	_	_	_	_	_	_	_	_	_	*[16]	*[46]	_	_	_	_	
2-4	29-30	в	_	_	_	_	_	_	_	_	_	_	*[16]	*[46]	_	_	_	_	
2-5	31-38	истории	_	_	_	_	_	_	_	_	_	_	*[16]	*[46]	_	_	_	_	
2-6	39-42	ММА	_	_	_	_	_	_	_	_	_	_	*[16]	*[46]	_	_	_	_	
2-7	43-51	завершил	_	_	_	_	_	_	_	_	_	_	*[16]	*[46]	_	_	_	_	
2-8	52-59	карьеру	_	_	_	_	_	_	_	_	_	_	*[16]	*[46]	_	_	_	_	
2-9	59-60	.	_	_	_	_	_	_	_	_	_	_	*[16]	*[46]	_	_	_	_	

#Text=Хабиб пытался уговорить его передумать, но не вышло
3-1	61-66	Хабиб	_	_	_	_	_	_	_	_	_	_	*[16]	*[47]	_	_	_	_	
3-2	67-74	пытался	_	_	_	_	_	_	_	_	_	_	*[16]	*[47]	_	_	_	_	
3-3	75-84	уговорить	_	_	_	_	_	_	_	_	_	_	*[16]	*[47]	_	_	_	_	
3-4	85-88	его	_	_	_	_	_	_	_	_	_	_	*[16]	*[47]	_	_	_	_	
3-5	89-99	передумать	_	_	_	_	_	_	_	_	_	_	*[16]	*[47]	_	_	_	_	
3-6	99-100	,	_	_	_	_	_	_	_	_	_	_	*[16]	*[47]	_	_	_	_	
3-7	101-103	но	_	_	_	_	_	_	_	_	_	_	*[16]	*[47]	_	_	_	_	
3-8	104-106	не	_	_	_	_	_	_	_	_	_	_	*[16]	*[47]	_	_	_	_	
3-9	107-112	вышло	_	_	_	_	_	_	_	_	_	_	*[16]	*[47]	_	_	_	_	

#Text=¶Теперь Нурмагомедов зовет Сен-Пьера не драться, а в гости.
4-1	116-117	¶	_	_	_	_	_	_	_	_	_	_	*[17]	*[48]	_	_	_	_	
4-2	117-123	Теперь	_	_	_	_	_	_	_	_	_	_	*[17]	*[48]	_	_	_	_	
4-3	124-136	Нурмагомедов	_	_	_	_	_	_	_	_	_	_	*[17]	*[48]	_	_	_	_	
4-4	137-142	зовет	_	_	_	_	_	_	_	_	_	_	*[17]	*[48]	_	_	_	_	
4-5	143-152	Сен-Пьера	_	_	_	_	_	_	_	_	_	_	*[17]	*[48]	_	_	_	_	
4-6	153-155	не	_	_	_	_	_	_	_	_	_	_	*[17]	*[48]	_	_	_	_	
4-7	156-163	драться	_	_	_	_	_	_	_	_	_	_	*[17]	*[48]	_	_	_	_	
4-8	163-164	,	_	_	_	_	_	_	_	_	_	_	*[17]	*[48]	_	_	_	_	
4-9	165-166	а	_	_	_	_	_	_	_	_	_	_	*[17]	*[48]	_	_	_	_	
4-10	167-168	в	_	_	_	_	_	_	_	_	_	_	*[17]	*[48]	_	_	_	_	
4-11	169-174	гости	_	_	_	_	_	_	_	_	_	_	*[17]	*[48]	_	_	_	_	
4-12	174-175	.	_	_	_	_	_	_	_	_	_	_	*[17]	*[48]	_	_	_	_	

#Text=¶Смешанные единоборства — действительно уникальный вид спорта.
5-1	179-180	¶	_	_	_	_	_	_	_	_	_	_	*[18]	*[49]	_	_	_	_	
5-2	180-189	Смешанные	_	_	_	_	_	_	_	_	_	_	*[18]	*[49]	_	_	_	_	
